timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T12:35:28.734522,baseline_0_1_0,2.375,0.736,0.623,1.14,6.557,17.885,67.0,10.222,20.576,15.944,17.169,67.0,11.4,12.53,15.13,14.21,14.32,17.09,17.03,15.52,17.09,16.64,17.26,16.12,19.72,19.0,20.81,23.26,23.35,23.35,25.32,25.94,25.94,26.48,24.76,25.08,24.41,25.0,24.04,25.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.47,22.85,20.4,23.35,22.56,23.26,23.71,25.71,24.04,25.08,26.83,24.6,22.8,23.35,22.36,20.59,19.42,18.11,17.8,15.3,13.0,11.4,8.0,8.25,6.71,5.66,8.6,6.4,-0.0578,1.8481,6.111
2026-02-28T12:35:28.793503,baseline_0_1_0,2.356,0.72,0.61,0.947,5.432,16.787,61.0,9.561,19.323,15.163,15.917,61.0,12.04,12.17,13.42,14.87,13.15,14.87,14.87,14.56,16.97,14.32,16.49,16.28,19.03,18.36,19.24,21.1,22.02,23.09,23.77,24.19,23.19,25.46,24.19,23.85,24.35,24.35,23.85,24.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92,22.47,20.0,20.62,21.19,20.88,22.47,22.36,22.67,25.32,25.5,23.85,21.59,21.26,19.24,19.72,18.79,16.28,16.28,14.0,12.08,10.77,8.25,5.39,6.08,5.0,7.21,6.08,-0.1401,1.848,6.1882
2026-02-28T12:35:28.815004,baseline_0_1_0,2.329,0.72,0.599,2.143,12.254,18.293,81.0,11.383,21.187,16.345,17.389,81.0,13.42,14.14,15.13,13.89,15.0,14.04,16.12,14.32,17.03,16.55,17.8,18.03,19.7,19.42,21.02,22.85,23.32,23.0,23.43,25.71,25.96,28.43,26.08,25.06,25.08,25.5,24.08,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,23.71,22.83,24.02,23.32,22.36,23.54,24.84,24.33,25.94,25.94,25.08,23.43,24.17,23.54,21.93,19.65,17.09,17.2,15.0,14.32,10.77,10.2,6.32,5.83,6.4,8.49,8.54,-0.1545,1.8863,6.2034
2026-02-28T12:35:28.820884,baseline_0_1_0,2.391,0.727,0.599,1.013,5.689,18.382,68.0,10.614,20.728,16.432,18.003,68.0,13.34,14.56,14.87,16.03,16.16,14.42,14.0,15.26,16.16,13.15,16.64,18.79,20.22,21.26,21.19,23.77,24.76,25.18,22.83,24.7,26.68,26.4,25.02,26.93,27.2,24.35,25.0,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.93,22.14,22.2,24.02,24.41,23.77,26.48,27.2,27.17,26.63,27.86,25.71,25.0,24.19,23.71,21.19,21.38,19.8,17.46,16.55,14.21,11.05,7.81,5.83,5.83,5.0,7.07,8.94,0.0926,1.8069,6.1343
2026-02-28T12:35:28.884307,baseline_0_1_0,2.354,0.72,0.503,0.894,5.161,17.249,62.0,9.773,19.63,15.576,16.574,62.0,14.42,12.0,13.89,14.87,13.6,12.81,16.03,14.32,16.12,14.04,17.0,17.49,19.0,19.42,20.88,20.4,21.93,24.0,23.02,25.0,25.63,25.55,25.02,25.0,24.19,23.26,22.85,24.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,21.54,19.31,22.8,24.02,24.19,23.26,24.35,23.35,24.0,24.84,24.04,22.85,23.02,23.09,21.93,19.65,17.46,15.62,14.14,12.81,9.22,7.62,5.83,7.21,5.0,8.06,7.28,0.2717,1.8484,6.1964
2026-02-28T12:35:28.909646,baseline_0_1_0,2.405,0.699,0.399,1.667,9.426,17.558,73.0,10.662,20.616,15.596,16.513,73.0,13.45,12.65,15.13,14.87,15.81,14.56,15.56,14.32,15.23,15.81,17.46,16.76,18.44,19.1,21.93,23.6,23.02,24.19,24.7,23.35,23.35,26.08,24.7,25.08,24.52,24.08,24.19,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,20.62,20.0,22.09,23.71,23.32,23.09,25.46,24.04,24.7,25.0,23.02,22.2,22.36,21.59,20.62,19.24,18.79,17.8,15.13,12.53,10.2,8.06,5.39,4.12,4.24,6.71,9.0,0.0595,1.8167,6.1964
2026-02-28T12:35:28.912876,baseline_0_1_0,2.393,0.699,0.398,0.66,4.225,17.423,60.0,9.702,19.858,15.598,16.843,60.0,13.89,12.81,14.04,14.42,15.23,14.32,14.87,13.6,16.16,16.97,17.12,17.46,18.6,19.0,20.62,21.54,23.09,25.5,24.19,23.6,24.04,26.0,24.19,25.18,26.17,24.33,23.32,23.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92,22.36,21.02,22.2,22.67,22.36,22.36,25.08,24.33,24.84,26.08,25.06,23.41,23.35,21.4,21.0,18.36,18.25,17.46,16.64,15.13,10.63,8.06,6.08,5.0,4.12,5.83,8.06,0.0353,1.7834,6.1638
2026-02-28T12:35:28.985487,baseline_0_1_0,2.382,0.669,0.395,1.27,7.077,17.577,69.0,10.51,20.381,15.759,16.635,69.0,14.04,11.66,16.12,15.13,15.0,14.32,15.81,15.56,16.03,14.87,16.4,17.12,19.7,20.0,20.02,21.47,23.26,22.56,24.76,25.18,25.06,26.93,24.74,26.25,25.02,24.7,22.85,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.02,21.4,18.97,22.47,22.8,25.02,24.19,26.25,24.33,24.21,25.18,23.71,23.41,23.35,22.8,22.0,20.12,17.89,17.03,14.14,13.6,10.3,6.71,4.12,6.08,2.24,7.62,6.71,0.1704,1.8361,6.2119
2026-02-28T12:35:29.005679,baseline_0_1_0,2.273,0.699,0.498,1.192,4.694,20.136,85.0,14.147,18.975,9.466,31.429,85.0,26.02,26.25,24.33,21.95,21.19,18.38,17.0,16.49,15.0,14.14,14.14,13.15,12.81,12.37,11.66,11.4,10.3,9.22,8.6,9.06,8.6,8.25,7.21,5.1,3.61,4.12,3.61,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.08,24.17,24.7,26.0,28.23,31.02,29.68,29.83,30.23,30.27,30.61,31.14,31.14,33.02,33.42,32.56,32.25,32.57,31.3,31.95,32.31,32.65,32.98,31.62,32.14,29.73,29.0,0.1519,1.848,6.0382
2026-02-28T12:35:29.009731,baseline_0_1_0,2.281,0.699,0.493,1.121,6.376,17.645,67.0,10.318,20.176,15.805,16.985,67.0,13.42,14.0,15.26,14.32,18.03,14.21,13.0,14.32,16.28,14.56,17.26,17.69,18.44,19.65,20.62,22.36,21.02,24.19,24.02,24.04,23.77,25.5,24.6,25.5,24.76,25.18,24.19,24.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.21,22.02,21.26,22.56,23.77,25.24,24.0,25.5,25.63,26.25,25.81,25.02,22.67,22.47,22.8,21.63,20.1,18.36,17.46,15.13,14.14,11.7,6.32,4.12,5.66,3.61,7.21,8.06,0.19,1.7945,6.0858
