timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,phase_mean,phase_std,phase_range,phase_diff_mean,phase_diff_std,phase_diff_range,phase_diff_skew
2026-03-13T11:46:30.878286,baseline_0_1_1,3.241,1.041,0.328,6.014,41.47,9.995,106.0,13.149,16.566,6.563,6.998,10.77,10.0,10.3,12.17,11.18,10.77,12.04,11.4,11.4,13.04,12.17,13.42,13.45,14.32,14.04,14.32,15.81,15.81,14.56,15.3,15.26,1.41,2.0,2.24,2.24,3.16,2.83,4.12,3.0,4.47,4.24,3.61,5.0,4.47,5.66,4.12,5.0,5.39,5.66,6.71,7.07,7.28,7.81,8.94,0.1258,1.7877,6.118,-0.0346,1.4688,6.8267,-3.5534
2026-03-13T11:46:30.879309,baseline_0_1_1,3.241,1.041,0.333,7.341,54.266,5.863,107.0,12.999,10.881,3.309,3.51,5.1,5.0,5.39,5.66,5.83,6.08,6.0,6.32,6.4,7.21,6.71,7.07,7.28,7.21,6.4,6.32,8.06,7.21,7.21,7.28,7.28,1.0,1.41,1.41,1.41,2.24,2.0,2.24,1.41,2.24,2.0,2.24,2.24,2.24,2.0,2.24,1.41,2.0,2.24,3.61,3.61,4.47,4.0,5.1,0.268,1.8626,6.0858,-0.0223,1.4857,7.6566,-3.4625
2026-03-13T11:46:30.879309,baseline_0_1_1,3.222,1.03,0.326,5.948,40.882,10.415,105.0,12.998,17.158,7.089,7.154,11.7,12.04,12.21,13.34,13.0,12.17,12.53,12.73,13.04,12.17,13.0,13.93,14.21,14.42,14.14,13.04,15.65,14.87,14.87,17.03,16.55,3.0,3.16,3.61,4.12,3.61,3.61,4.47,4.0,4.47,3.61,4.12,3.0,4.47,5.0,5.1,6.08,6.4,6.4,7.62,8.0,8.25,9.22,9.43,0.2164,1.8541,6.118,-0.0089,1.4134,6.7791,-3.8368
2026-03-13T11:46:30.880306,baseline_0_1_1,3.205,0.933,0.32,6.233,43.517,10.317,115.0,14.175,17.373,6.897,6.847,12.65,12.81,11.66,11.18,10.05,11.18,11.31,12.53,12.04,13.34,13.0,14.14,13.42,14.04,13.93,15.0,15.81,15.3,15.3,15.62,15.23,4.0,4.47,2.83,2.24,2.83,3.16,3.16,2.83,3.16,3.61,5.0,4.12,5.1,5.0,4.47,5.0,6.0,4.47,7.81,6.71,7.28,9.06,8.6,0.0321,1.7173,5.9732,-0.0403,1.4779,7.2223,-3.2837
2026-03-13T11:46:30.880306,baseline_0_1_1,3.218,0.933,0.323,7.223,53.082,6.007,101.0,12.273,10.855,3.518,3.756,6.4,5.83,5.1,6.08,5.39,5.0,5.0,6.32,6.0,6.32,5.83,6.4,6.71,7.0,7.28,8.06,8.49,8.94,8.06,8.25,7.81,2.0,1.0,1.0,1.0,1.0,1.41,1.41,2.24,3.0,3.16,2.24,3.16,3.16,3.0,3.0,2.24,2.24,3.16,3.16,3.61,3.61,4.12,4.12,-0.0014,1.8325,6.0049,-0.0511,1.4982,7.5757,-3.3389
2026-03-13T11:46:30.880306,baseline_0_1_1,3.237,1.041,0.332,7.339,54.247,6.018,110.0,13.366,11.182,3.376,3.612,5.0,5.39,5.83,6.4,6.08,6.0,6.32,7.21,7.07,6.71,6.08,7.0,7.62,7.07,6.32,7.07,7.28,7.07,6.71,8.0,8.54,1.0,1.41,1.41,1.41,1.0,2.0,2.0,2.24,2.24,2.0,2.24,1.41,2.24,3.0,2.24,1.41,2.0,3.16,3.61,4.47,4.12,5.1,5.39,0.289,1.8875,6.0858,-0.0198,1.4759,7.5322,-3.4188
2026-03-13T11:46:30.880306,baseline_0_1_1,3.237,1.111,0.335,6.037,41.682,10.502,110.0,13.611,17.42,7.226,7.025,10.82,11.66,12.17,13.15,13.0,12.53,12.73,12.08,11.0,11.4,12.81,12.21,13.6,14.04,14.32,13.45,13.93,15.0,16.16,16.97,18.38,3.16,4.0,5.1,3.61,3.61,2.24,2.83,5.1,4.12,4.47,2.83,2.24,3.61,4.47,6.0,6.08,7.62,7.81,6.71,7.07,7.62,8.49,10.3,-0.0663,1.9088,6.118,0.0248,1.7699,10.1694,-2.6211
2026-03-13T11:46:30.880306,baseline_0_1_1,3.222,1.111,0.339,6.484,45.896,9.43,112.0,13.716,15.975,6.289,6.181,10.0,11.7,10.0,11.18,10.0,10.0,9.22,11.05,9.85,11.31,11.18,11.18,12.04,12.53,13.6,12.08,15.0,13.0,14.14,14.32,14.0,4.24,4.0,3.61,2.83,2.0,2.0,3.61,2.24,2.83,3.16,4.0,4.47,4.47,5.39,5.1,5.1,5.83,5.0,6.08,6.0,6.71,7.21,8.25,-0.078,1.753,6.2,-0.0545,1.5361,7.0718,-3.2115
2026-03-13T11:46:30.880306,baseline_0_1_1,3.229,1.111,0.339,6.525,46.313,9.571,115.0,14.069,16.126,6.074,6.652,10.2,10.2,10.3,10.63,9.85,10.2,11.18,12.08,12.04,11.66,12.37,11.05,13.0,13.45,12.08,12.04,13.93,12.73,14.32,14.0,13.89,2.83,2.0,2.0,2.0,3.16,3.16,3.0,4.0,4.24,4.12,4.0,4.47,4.24,4.47,5.1,4.47,4.47,6.0,6.08,6.71,8.06,9.22,9.06,0.262,1.836,6.1725,-0.0218,1.4948,7.5247,-3.2986
2026-03-13T11:46:30.881304,baseline_0_1_1,3.244,1.041,0.33,6.208,43.327,9.45,101.0,12.41,15.509,6.429,6.55,10.05,11.18,11.18,11.31,10.3,10.2,10.05,12.37,12.21,12.73,11.66,11.4,12.04,12.08,12.73,12.53,14.14,13.15,13.89,15.0,13.34,3.16,3.16,2.24,4.0,4.12,5.0,3.61,3.61,3.16,3.61,3.16,4.0,5.1,4.24,5.0,4.12,4.47,6.4,6.71,7.28,8.06,8.25,8.6,-0.0349,1.8617,6.1835,-0.0151,1.4362,6.948,-3.7934
