timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T12:42:49.894551,movement_hallway_0_1_0,3.107,1.835,0.992,0.36,1.141,18.827,59.0,10.954,17.791,9.553,28.667,59.0,26.87,23.32,22.56,21.02,19.31,18.6,17.8,16.55,15.3,15.13,13.93,12.81,12.81,11.7,12.04,11.4,10.82,11.4,11.18,10.05,10.3,9.9,9.85,9.06,9.49,8.6,8.6,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24,19.72,21.26,20.62,22.09,23.35,25.94,26.17,26.42,27.89,28.07,28.79,29.41,30.0,30.46,30.27,29.27,30.46,29.21,30.0,29.41,30.02,29.61,28.65,28.32,26.83,28.16,27.29,-0.0474,1.8565,6.1249
2026-02-28T12:42:49.940107,movement_hallway_0_1_0,3.061,1.829,1.04,1.3,4.69,17.974,79.0,13.263,15.282,9.071,29.043,79.0,23.85,22.02,19.7,18.03,17.26,14.32,13.45,12.53,10.77,9.06,8.54,8.6,8.6,7.28,8.06,8.06,8.49,7.62,8.06,7.62,7.81,7.62,7.07,6.08,5.83,5.66,4.12,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,23.0,22.47,22.8,23.85,26.93,28.02,29.41,28.84,29.21,28.79,30.02,31.05,30.53,30.48,29.55,29.43,28.28,29.07,29.73,28.3,28.86,29.07,28.79,27.8,29.21,27.51,27.0,-0.0568,1.7943,6.2475
2026-02-28T12:42:50.000086,movement_hallway_0_1_0,3.043,1.829,1.043,3.007,16.363,11.849,71.0,10.018,11.85,5.352,18.049,71.0,16.12,15.3,13.15,11.66,11.4,9.85,10.0,8.25,8.6,8.6,8.25,8.06,7.62,7.07,7.28,7.0,6.32,5.83,4.47,3.0,3.16,3.16,3.0,2.24,2.83,3.0,3.16,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.45,13.89,14.04,16.49,17.2,18.6,17.72,18.0,17.46,16.97,18.38,18.03,18.97,17.8,18.87,17.46,18.11,17.0,18.44,18.79,19.1,18.44,18.87,17.8,18.97,17.12,16.16,0.0559,1.9253,6.1588
2026-02-28T12:42:50.030056,movement_hallway_0_1_0,3.029,1.678,1.041,-0.418,-1.114,23.284,39.812,12.889,21.354,11.106,36.75,27.0,34.79,32.45,29.21,28.46,27.02,25.0,23.85,23.43,21.93,21.21,19.42,17.0,17.69,16.12,16.12,14.56,14.42,13.04,13.34,12.37,10.82,10.3,10.2,9.06,8.6,7.81,7.62,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18,25.94,26.91,26.0,28.0,29.73,32.8,31.91,32.76,33.24,34.44,36.8,37.58,38.33,37.66,38.08,36.8,38.91,38.21,39.81,38.95,38.9,38.91,37.34,37.66,36.72,36.88,35.85,-0.0414,1.8087,6.1355
2026-02-28T12:42:50.032295,movement_hallway_0_1_0,3.029,1.615,0.996,0.227,0.618,19.284,58.0,11.19,19.149,9.024,29.207,58.0,29.21,26.25,25.0,24.04,21.63,20.62,20.62,19.1,17.12,17.0,14.87,13.42,14.14,12.17,12.53,12.04,11.7,12.0,10.77,9.9,9.85,10.0,9.49,8.6,8.6,8.25,8.06,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44,18.97,20.0,19.31,21.26,21.95,23.54,25.18,25.5,26.17,27.73,29.15,28.64,30.02,30.41,29.97,29.27,31.4,30.41,31.11,31.3,31.4,31.26,30.41,31.11,29.55,30.15,28.86,0.0052,1.7994,6.0721
2026-02-28T12:42:50.081430,movement_hallway_0_1_0,3.061,1.57,0.982,2.201,10.167,17.679,94.0,14.299,15.355,8.821,28.351,94.0,21.19,20.0,19.7,16.97,15.0,14.32,13.04,12.08,10.63,8.6,10.44,9.22,9.06,7.21,7.81,7.07,7.0,7.21,5.83,6.08,6.32,6.4,6.71,6.0,6.32,6.4,5.39,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.26,21.93,23.0,22.14,24.08,24.19,25.5,27.46,26.42,27.02,27.51,30.0,29.41,29.83,30.53,30.81,31.14,28.64,29.83,31.38,28.64,29.15,28.64,29.0,26.83,26.31,25.5,24.19,-0.1856,1.8411,6.2064
2026-02-28T12:42:50.128981,movement_hallway_0_1_0,3.061,1.57,0.937,2.563,13.159,10.812,61.0,8.913,10.914,4.425,16.811,61.0,15.81,14.42,13.6,12.04,11.4,10.0,9.22,8.54,8.0,7.28,6.4,7.21,6.08,5.1,5.83,5.83,6.32,5.1,5.0,5.0,4.12,4.0,3.16,2.24,2.24,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04,11.66,11.4,11.7,13.04,14.32,14.14,15.65,16.12,16.49,16.64,17.8,18.03,17.0,17.09,17.03,17.2,16.49,17.03,17.46,16.28,17.0,17.12,17.46,16.64,17.03,17.09,17.03,0.095,1.749,6.027
2026-02-28T12:42:50.129978,movement_hallway_0_1_0,3.061,1.57,0.932,0.871,2.878,11.929,46.0,8.08,11.445,5.295,18.724,46.0,17.49,15.62,14.56,14.04,12.65,11.4,10.3,11.18,10.0,8.25,10.0,8.6,8.54,7.0,7.28,7.21,6.4,5.1,4.47,4.24,4.12,4.0,3.61,2.83,3.16,4.0,3.16,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.6,13.45,13.04,14.32,15.3,16.12,16.28,16.16,16.0,16.16,18.38,17.89,19.1,19.65,18.87,19.21,19.31,20.0,21.19,19.21,19.42,20.62,20.02,20.25,20.62,19.24,18.25,0.091,1.9334,6.0382
2026-02-28T12:42:50.154498,movement_hallway_0_1_0,3.076,1.332,0.927,-0.202,-1.324,20.105,42.0,11.993,16.869,10.207,32.641,42.0,29.02,25.96,24.7,22.02,21.54,19.24,17.26,15.23,14.21,14.42,12.65,13.04,11.7,11.4,10.82,10.2,9.06,10.3,10.0,9.49,10.05,9.85,8.49,8.06,8.06,7.62,7.21,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36,23.77,24.7,24.21,26.57,27.0,28.79,31.24,31.91,32.02,33.14,33.54,33.94,34.89,32.56,33.54,33.54,34.66,33.62,33.73,32.25,32.7,32.56,31.76,32.39,32.76,32.76,29.83,-0.1171,1.7636,6.1581
2026-02-28T12:42:50.225180,movement_hallway_0_1_0,3.086,1.353,0.958,0.381,0.001,18.458,62.0,12.959,15.082,8.836,30.866,62.0,25.96,22.8,21.63,17.72,18.03,15.81,14.42,12.21,12.08,10.2,10.2,9.43,9.22,8.25,9.06,8.06,8.6,8.25,6.08,6.71,6.4,6.32,6.08,5.0,4.24,4.12,3.16,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.56,23.19,23.32,24.21,26.25,27.07,28.79,30.41,30.89,31.26,31.78,33.29,33.6,33.53,33.0,32.89,33.42,31.06,30.81,31.26,29.97,30.41,29.97,30.27,28.64,28.65,27.66,27.51,-0.019,1.7118,5.9897
