timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,phase_mean,phase_std,phase_range,phase_diff_mean,phase_diff_std,phase_diff_range,phase_diff_skew
2026-03-13T11:51:16.229321,movement_stairs_1_1_0,3.054,0.267,0.053,7.106,51.964,6.754,104.0,12.628,12.557,3.45,4.367,8.49,8.06,8.25,8.06,8.94,8.6,8.6,8.54,8.0,8.25,8.06,7.81,6.71,8.06,7.28,7.21,7.21,7.28,7.07,7.62,7.81,1.0,1.0,2.24,2.24,2.24,2.0,2.24,2.24,2.24,2.0,1.41,2.24,2.0,2.24,2.83,2.83,3.16,5.0,5.1,5.39,5.66,5.83,6.32,0.1427,1.926,6.1588,-0.0022,1.4215,6.8712,-3.887
2026-03-13T11:51:16.230353,movement_stairs_1_1_0,3.037,0.25,0.053,5.417,36.196,12.244,110.0,13.822,21.036,6.987,8.869,16.0,15.81,16.28,17.49,16.28,16.0,16.16,17.2,17.49,16.16,18.0,16.76,15.0,16.12,15.13,14.04,15.65,14.87,14.87,16.0,16.16,3.0,2.24,3.16,4.0,4.0,5.0,4.24,4.12,5.1,5.0,3.61,4.47,5.1,5.83,6.4,5.1,7.0,8.06,8.49,10.3,11.05,11.18,12.53,0.3126,1.8623,6.1033,-0.0163,1.4106,6.7981,-3.7873
2026-03-13T11:51:16.230353,movement_stairs_1_1_0,3.037,0.25,0.053,5.2,34.289,12.184,104.0,13.147,20.491,7.374,8.845,19.03,18.68,17.89,16.28,15.23,15.13,15.3,15.65,15.56,15.65,15.52,14.14,14.32,14.21,16.16,16.12,18.25,17.0,16.28,16.55,16.0,4.12,3.16,2.24,4.12,3.61,3.61,3.16,2.24,3.16,5.0,6.08,6.71,7.21,7.07,7.62,7.07,7.62,7.81,9.43,9.85,11.0,11.05,11.18,-0.1751,1.8004,6.118,0.0436,1.5027,9.149,-3.3665
2026-03-13T11:51:16.230353,movement_stairs_1_1_0,3.01,0.281,0.052,7.137,52.252,6.616,106.0,12.889,12.455,3.477,4.039,8.6,8.49,7.62,7.07,7.28,7.21,7.21,7.28,7.07,7.62,7.21,7.21,7.28,8.06,8.06,7.81,9.43,8.25,8.0,7.62,7.81,2.24,1.0,1.41,1.0,1.41,1.41,1.0,1.41,2.0,2.0,3.16,3.61,2.83,3.16,3.16,3.16,2.83,3.61,3.16,4.0,4.47,5.0,5.39,-0.1197,1.7844,6.1588,0.0539,1.2718,6.7468,-3.9265
2026-03-13T11:51:16.251948,movement_stairs_1_1_0,3.025,0.281,0.054,6.081,42.097,9.51,113.0,14.123,17.402,5.632,5.678,14.32,13.45,12.21,11.18,11.4,12.53,10.63,12.08,11.0,12.65,12.21,12.81,12.65,13.15,12.53,14.14,15.23,14.14,13.6,14.21,13.42,1.41,1.41,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.16,3.16,3.16,2.24,3.61,5.0,5.39,4.0,5.39,5.83,5.83,7.07,8.06,6.71,-0.486,1.8247,6.1305,0.0496,1.3839,9.103,-3.0098
2026-03-13T11:51:16.253254,movement_stairs_1_1_0,3.037,0.281,0.054,5.627,37.978,9.33,99.0,12.536,16.837,5.401,5.914,11.66,12.37,12.04,12.65,13.6,12.21,11.7,13.15,12.37,13.0,12.81,12.53,13.6,13.0,11.7,13.04,13.6,12.65,13.04,13.0,13.45,0.0,0.0,1.0,1.41,2.0,2.24,1.41,1.0,2.0,2.24,2.0,1.41,3.0,2.24,4.24,3.16,4.12,5.1,6.4,6.4,6.71,8.06,9.22,-0.0789,1.8091,6.0645,-0.0249,1.6818,11.4379,-1.7954
2026-03-13T11:51:16.253254,movement_stairs_1_1_0,3.041,0.281,0.054,7.152,52.386,6.44,111.0,13.552,12.622,3.263,3.574,8.06,8.06,7.07,7.21,7.21,6.32,7.07,6.32,7.81,8.06,7.28,8.0,7.62,7.81,8.06,8.25,9.06,7.62,7.07,7.62,7.07,1.41,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.41,2.24,2.24,2.24,2.0,2.0,2.24,2.83,2.24,3.0,3.16,4.24,4.47,5.0,-0.0202,1.833,6.0382,-0.0527,1.5655,9.1798,-2.7242
2026-03-13T11:51:16.285674,movement_stairs_1_1_0,2.994,0.279,0.054,6.984,50.792,7.47,103.0,12.473,13.178,4.025,5.308,9.0,9.22,9.43,9.22,8.94,9.22,8.06,8.54,8.49,8.6,8.25,7.0,7.62,7.07,7.62,8.06,8.06,8.06,8.6,9.49,9.0,2.83,2.24,2.24,2.0,2.24,2.24,2.0,2.24,2.24,2.0,3.16,3.16,3.61,4.12,4.0,5.1,5.39,5.83,5.83,5.39,7.0,7.28,7.21,-0.0167,1.9116,6.0858,0.0154,1.4551,7.6566,-3.8199
2026-03-13T11:51:16.319270,movement_stairs_1_1_0,2.994,0.279,0.054,6.9,49.978,7.338,97.0,11.751,12.659,4.012,5.433,9.85,8.6,8.6,8.54,7.0,7.28,7.21,7.81,7.62,8.06,8.06,7.62,7.81,8.06,8.25,9.06,9.49,8.6,8.6,9.49,9.06,1.0,1.0,2.0,1.41,2.24,3.61,3.0,3.0,3.61,3.61,3.61,4.12,4.0,4.12,4.47,4.24,4.47,5.0,5.1,4.47,6.4,6.32,7.0,0.0637,1.8508,6.1725,0.0561,1.2188,7.4983,-4.1277
2026-03-13T11:51:16.335057,movement_stairs_1_1_0,2.994,0.279,0.053,6.933,50.302,7.375,99.0,11.99,12.89,3.903,5.424,8.6,8.54,8.0,8.25,8.6,7.81,8.54,9.22,9.06,9.49,8.6,9.22,8.54,8.06,8.25,8.94,9.22,8.94,8.06,8.25,8.06,1.0,2.0,2.24,3.16,2.83,2.24,3.0,3.0,2.24,3.16,3.16,3.0,3.61,3.61,3.61,4.0,4.47,5.0,5.0,6.32,6.08,7.0,7.28,-0.0103,1.8814,6.1725,-0.0228,1.4331,7.7944,-3.6944
2026-03-13T11:51:16.641611,movement_stairs_1_1_0,3.004,0.294,0.054,6.929,50.24,7.193,103.0,12.541,13.167,3.538,4.978,9.22,8.94,9.06,9.06,8.94,8.49,8.06,9.22,9.0,9.22,8.06,8.49,7.62,7.0,7.62,7.81,8.06,7.28,8.06,7.62,7.81,1.0,1.0,1.41,2.24,2.24,2.24,2.24,1.41,2.24,2.0,1.41,2.24,2.24,3.0,3.16,2.83,4.12,5.0,5.1,6.71,7.07,7.21,7.28,0.1466,1.9087,6.1725,-0.0018,1.4102,7.0131,-3.8846
