timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-27T11:07:46.501546,movement_stairs_1_1_1,2.721,0.588,0.318,7.047,51.436,8.151,101.0,12.087,12.234,3.705,8.498,101.0,11.18,9.22,10.82,10.0,10.2,9.06,8.54,7.81,8.94,9.06,8.25,7.21,7.07,6.32,6.08,5.39,5.0,5.39,5.0,5.39,5.0,4.47,5.0,5.1,4.47,5.66,4.47,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,5.83,6.4,6.32,6.08,6.71,6.4,6.32,6.08,6.32,7.07,6.71,6.08,7.62,6.4,7.21,9.22,9.0,9.49,9.22,9.43,9.22,10.2,10.82,11.4,11.4,11.05,10.3,-0.1729,1.9006,6.1725
2026-02-27T11:07:46.507543,movement_stairs_1_1_1,2.721,0.588,0.319,5.252,34.6,12.37,104.0,13.094,14.287,5.804,16.807,104.0,18.68,15.13,14.76,14.21,13.42,11.05,9.85,9.9,9.85,9.22,8.0,8.54,9.22,8.06,7.0,6.0,6.32,5.0,6.71,5.1,3.16,5.0,4.47,4.0,4.47,5.83,4.47,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,14.42,15.3,14.14,12.53,13.45,13.34,12.0,14.76,15.56,16.64,13.6,15.0,14.76,14.87,13.42,16.03,17.46,20.25,17.69,18.38,16.12,18.38,20.52,21.1,20.22,20.4,19.24,0.2791,1.8774,6.1413
2026-02-27T11:07:46.546551,movement_stairs_1_1_1,2.736,0.575,0.315,5.863,40.354,9.699,84.0,10.244,12.957,4.104,11.93,84.0,14.42,11.4,12.0,11.7,10.82,10.82,10.77,10.05,10.2,10.3,9.22,9.43,9.49,8.06,8.25,7.62,5.66,6.71,6.08,5.1,4.47,5.0,4.47,4.0,4.12,5.0,4.47,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,9.22,8.6,7.28,8.06,8.06,8.49,8.94,9.22,9.06,9.85,10.63,10.0,11.7,11.05,11.05,11.7,12.81,12.81,13.0,13.04,13.04,13.93,14.21,14.42,14.56,15.03,13.93,0.1658,1.7808,6.1019
2026-02-27T11:07:46.594161,movement_stairs_1_1_1,2.747,0.575,0.315,2.817,15.241,8.754,45.0,6.251,10.443,4.021,11.661,45.0,14.76,13.0,13.6,12.21,12.0,10.0,9.22,8.06,8.54,8.94,8.06,8.06,7.81,7.28,6.71,5.83,5.1,5.0,5.1,5.0,5.0,5.39,4.47,4.12,3.61,4.12,3.61,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,8.06,8.94,8.25,8.6,9.0,8.6,8.25,7.62,8.94,8.25,10.82,10.05,10.63,11.4,10.77,11.66,11.05,11.31,12.17,13.04,13.93,13.6,15.0,15.13,14.87,15.03,14.42,0.0457,1.8737,6.1588
2026-02-27T11:07:46.632439,movement_stairs_1_1_1,2.807,0.643,0.359,3.759,22.185,15.168,94.0,12.484,18.088,6.462,20.692,94.0,23.09,21.19,21.4,22.47,19.31,17.03,15.81,14.87,15.65,15.3,13.04,13.0,12.21,9.22,11.0,8.54,9.43,9.22,8.06,6.0,6.32,5.83,6.08,7.07,6.08,7.21,6.71,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52,13.0,15.81,13.6,13.89,12.17,13.6,12.04,16.55,18.03,19.03,18.44,17.89,19.72,18.03,20.0,21.02,23.32,23.43,22.85,21.21,21.38,21.4,24.19,28.16,25.18,26.4,23.35,0.1492,1.8434,5.9614
2026-02-27T11:07:46.635463,movement_stairs_1_1_1,2.812,0.643,0.356,5.741,39.049,9.002,82.0,10.141,11.649,3.527,11.7,82.0,14.21,12.08,12.17,11.18,10.77,10.63,10.3,9.22,9.06,8.25,8.06,6.4,6.4,6.08,6.0,5.1,5.0,3.61,4.0,4.12,3.61,4.24,3.61,4.12,3.0,3.16,4.47,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,7.21,7.81,6.08,8.25,8.06,7.81,8.6,9.49,10.05,9.22,11.18,11.4,11.66,10.44,11.05,12.17,11.18,12.04,13.04,12.37,12.0,13.6,13.6,14.21,13.93,14.04,14.32,0.1236,1.8992,6.1033
2026-02-27T11:07:46.689262,movement_stairs_1_1_1,2.713,0.575,0.322,6.702,48.119,9.074,101.0,12.157,12.246,4.203,10.696,101.0,12.04,9.43,10.2,10.2,10.3,9.22,8.94,8.06,8.54,8.6,7.81,7.62,8.06,7.28,5.83,5.66,5.39,4.0,5.39,3.61,3.61,4.0,4.12,3.61,4.47,5.1,5.1,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,8.94,9.22,8.06,9.06,8.54,7.81,8.06,9.06,9.22,8.94,9.9,8.94,9.0,8.94,9.22,11.66,11.4,12.0,12.37,12.21,11.4,11.4,13.04,13.42,12.73,13.42,11.18,-0.0554,1.8917,6.1725
2026-02-27T11:07:46.740621,movement_stairs_1_1_1,2.734,0.647,0.329,3.944,23.915,15.63,94.0,12.208,19.252,7.105,20.31,94.0,26.48,22.09,23.26,19.85,19.72,17.26,16.12,15.65,15.56,14.32,14.14,14.14,14.32,11.4,11.7,12.17,11.18,11.18,9.9,9.85,10.05,9.06,7.62,7.81,8.6,8.06,6.32,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,13.93,15.62,12.53,14.04,14.32,14.32,16.28,15.65,15.52,16.03,17.89,18.03,18.36,18.97,18.0,20.25,20.0,20.81,20.88,22.0,21.84,23.85,23.85,24.04,27.07,26.93,26.25,-0.0644,1.8143,6.1379
2026-02-27T11:07:46.795110,movement_stairs_1_1_1,2.734,0.647,0.329,5.907,40.556,10.043,98.0,12.11,12.34,4.223,13.406,98.0,14.32,12.0,11.7,11.4,10.82,10.44,10.0,8.54,9.22,9.43,8.54,7.0,7.07,5.83,5.0,4.47,4.0,4.12,3.61,3.61,3.0,3.0,3.16,2.83,4.12,4.0,4.12,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,10.3,10.2,10.2,9.43,9.22,10.2,10.0,10.77,11.4,11.18,12.17,12.04,12.21,12.81,12.65,14.0,15.3,15.26,14.87,15.23,14.04,14.32,15.81,15.81,15.52,15.03,14.32,0.0486,1.8584,6.0858
2026-02-27T11:07:46.796102,movement_stairs_1_1_1,2.729,0.661,0.333,5.195,34.39,10.757,80.0,9.912,13.171,5.191,13.764,80.0,16.28,15.03,13.93,14.21,12.81,11.18,10.2,9.06,9.85,9.22,8.6,8.54,8.0,7.28,7.21,7.07,6.71,7.07,7.07,7.28,6.4,7.07,5.39,6.08,6.0,5.83,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77,10.05,10.2,10.3,10.63,10.3,11.18,11.05,12.08,12.21,12.04,13.0,12.17,12.37,12.08,12.04,12.53,13.93,14.04,14.32,14.76,12.81,14.76,16.49,17.0,16.76,17.49,17.69,-0.1191,1.8594,6.1413
