timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-13T09:46:45.476144,baseline_doors_closed,2.799,0.393,0.024,-1.156,0.827,17.075,26.627,7.199,14.764,12.565,23.586
2026-02-13T09:46:45.893337,baseline_doors_closed,2.929,0.398,0.026,-1.131,0.814,19.791,30.887,8.363,17.136,14.362,27.508
2026-02-13T09:46:46.292229,baseline_doors_closed,1.548,1.36,0.198,-1.047,0.557,16.756,26.249,7.238,14.202,12.387,23.365
2026-02-13T09:46:46.724884,baseline_doors_closed,1.556,1.56,0.182,-1.161,0.835,17.905,28.302,7.552,15.475,13.121,24.79
2026-02-13T09:46:47.106250,baseline_doors_closed,2.96,0.414,0.031,-1.028,0.586,17.93,28.425,7.734,15.183,13.181,25.086
2026-02-13T09:46:47.539473,baseline_doors_closed,1.427,1.378,0.133,-1.128,0.66,18.261,27.731,7.829,15.641,13.44,25.364
2026-02-13T09:46:47.940065,baseline_doors_closed,1.488,1.421,0.255,-1.228,1.015,19.222,29.732,7.985,16.869,14.022,26.432
2026-02-13T09:46:48.363700,baseline_doors_closed,1.702,1.396,0.137,4.446,29.069,20.484,120.0,14.833,21.439,13.767,25.984
2026-02-13T09:46:48.755034,baseline_doors_closed,2.884,0.47,0.037,-1.188,0.89,18.524,28.653,7.772,16.179,13.61,25.454
2026-02-13T09:46:49.179198,baseline_doors_closed,1.223,1.471,0.154,4.53,29.707,19.635,117.0,14.438,20.459,13.328,24.871
2026-02-13T09:46:49.578350,baseline_doors_closed,2.842,0.459,0.033,-1.117,0.7,17.848,28.46,7.617,15.206,13.199,24.808
2026-02-13T09:46:50.111638,baseline_doors_closed,3.067,0.411,0.034,-1.044,0.593,18.171,28.792,7.821,15.416,13.322,25.43
2026-02-13T09:46:50.505960,baseline_doors_closed,2.91,0.428,0.036,-1.141,0.817,17.75,27.586,7.492,15.278,13.033,24.611
2026-02-13T09:46:50.958571,baseline_doors_closed,3.036,0.336,0.025,-1.083,0.665,17.716,28.46,7.575,15.081,13.066,24.67
2026-02-13T09:46:51.326171,baseline_doors_closed,1.562,1.457,0.153,-1.125,0.814,18.522,29.206,7.837,16.023,13.549,25.656
2026-02-13T09:46:51.739210,baseline_doors_closed,3.087,0.332,0.023,-1.146,0.832,19.071,30.676,8.053,16.515,13.854,26.49
2026-02-13T09:46:52.134051,baseline_doors_closed,2.907,0.475,0.038,-1.044,0.525,17.3,27.074,7.515,14.625,12.874,24.079
2026-02-13T09:46:52.555993,baseline_doors_closed,1.508,1.427,0.28,-0.986,0.375,17.701,28.636,7.856,14.697,13.055,25.002
2026-02-13T09:46:52.954278,baseline_doors_closed,2.745,0.539,0.039,-1.135,0.664,18.667,28.792,8.036,15.962,13.607,26.078
2026-02-13T09:46:53.373294,baseline_doors_closed,1.67,1.307,0.135,-1.086,0.663,16.812,26.249,7.187,14.272,12.553,23.302
2026-02-13T09:46:54.052820,baseline_doors_closed,3.19,0.363,0.032,-1.197,0.912,17.483,27.166,7.323,15.213,12.841,24.079
2026-02-13T09:46:54.453452,baseline_doors_closed,1.376,1.456,0.159,-1.124,0.72,17.786,27.295,7.568,15.229,13.087,24.714
2026-02-13T09:46:54.859342,baseline_doors_closed,3.014,0.289,0.021,-1.012,0.506,17.78,27.731,7.717,15.013,13.017,24.968
2026-02-13T09:46:55.259929,baseline_doors_closed,1.466,1.486,0.163,-1.091,0.62,34.594,55.606,14.908,29.375,25.585,48.174
2026-02-13T09:46:55.678798,baseline_doors_closed,2.922,0.321,0.019,-1.179,0.903,17.899,28.792,7.511,15.485,13.233,24.659
2026-02-13T09:46:56.086242,baseline_doors_closed,2.967,0.437,0.031,-1.05,0.66,16.936,27.295,7.263,14.356,12.53,23.603
2026-02-13T09:46:56.497266,baseline_doors_closed,1.465,1.447,0.147,-1.054,0.604,17.803,28.16,7.656,15.074,13.095,24.902
2026-02-13T09:46:56.908708,baseline_doors_closed,3.137,0.37,0.036,-1.11,0.67,16.852,26.476,7.22,14.411,12.351,23.48
2026-02-13T09:46:57.416536,baseline_doors_closed,1.355,1.508,0.266,-1.174,0.906,17.406,27.019,7.3,15.156,12.674,24.07
2026-02-13T09:46:57.969306,baseline_doors_closed,1.687,1.577,0.461,-1.191,0.898,18.176,27.803,7.62,15.757,13.362,25.079
2026-02-13T09:46:58.391144,baseline_doors_closed,1.506,1.559,0.187,-1.1,0.662,18.213,28.862,7.808,15.582,13.457,25.264
2026-02-13T09:46:58.772090,baseline_doors_closed,3.07,0.341,0.027,-1.23,1.017,18.905,29.017,7.854,16.552,13.864,25.963
2026-02-13T09:46:59.205160,baseline_doors_closed,1.691,1.205,0.115,-1.19,0.809,18.035,27.019,7.604,15.484,13.384,24.911
2026-02-13T09:46:59.606152,baseline_doors_closed,3.052,0.386,0.032,-1.082,0.711,18.24,28.284,7.78,15.703,13.343,25.335
2026-02-13T09:47:00.032719,baseline_doors_closed,1.556,1.445,0.163,4.455,29.116,20.278,119.0,14.709,20.99,13.66,25.916
2026-02-13T09:47:00.427132,baseline_doors_closed,1.518,1.421,0.354,-1.088,0.696,17.072,27.019,7.283,14.568,12.701,23.634
2026-02-13T09:47:00.862114,baseline_doors_closed,3.041,0.373,0.03,-1.079,0.691,17.989,29.0,7.686,15.43,13.283,24.923
