timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-13T10:07:50.340020,baseline_doors_open,3.083,0.464,0.043,-0.841,-0.079,17.574,28.425,8.053,13.968,13.471,24.932
2026-02-13T10:07:50.514402,baseline_doors_open,1.538,1.486,0.267,-0.851,-0.077,33.054,53.6,15.209,25.95,25.356,47.184
2026-02-13T10:07:51.040796,baseline_doors_open,1.548,1.6,0.264,-0.897,0.07,17.258,27.459,7.778,13.672,13.414,24.351
2026-02-13T10:07:51.325801,baseline_doors_open,3.19,0.364,0.035,-1.032,0.341,18.101,28.425,7.925,15.026,13.609,25.324
2026-02-13T10:07:51.719909,baseline_doors_open,1.619,1.241,0.124,-0.855,-0.02,18.757,29.275,8.538,14.86,14.46,26.578
2026-02-13T10:07:52.130127,baseline_doors_open,2.88,0.516,0.042,-0.91,0.135,17.442,27.459,7.812,14.006,13.41,24.57
2026-02-13T10:07:52.535903,baseline_doors_open,2.868,0.486,0.035,-0.919,0.152,18.106,29.0,8.099,14.602,13.889,25.476
2026-02-13T10:07:52.945938,baseline_doors_open,2.895,0.534,0.048,-1.005,0.28,17.752,28.018,7.827,14.42,13.577,24.919
2026-02-13T10:07:53.415996,baseline_doors_open,3.058,0.49,0.048,-0.844,-0.052,17.94,28.018,8.193,14.402,13.506,25.549
2026-02-13T10:07:53.776014,baseline_doors_open,3.066,0.444,0.047,-1.06,0.368,17.509,27.0,7.642,14.484,13.352,24.364
2026-02-13T10:07:54.205657,baseline_doors_open,3.065,0.432,0.04,-0.971,0.189,18.041,27.514,8.019,14.567,13.889,25.32
2026-02-13T10:07:54.600819,baseline_doors_open,3.142,0.356,0.038,-0.889,0.019,16.755,27.019,7.594,13.365,12.964,23.61
2026-02-13T10:07:55.015957,baseline_doors_open,3.056,0.433,0.039,-0.933,0.124,18.251,29.411,8.188,14.709,13.988,25.7
2026-02-13T10:07:55.415946,baseline_doors_open,3.031,0.472,0.045,-0.844,-0.052,17.23,27.659,7.878,13.446,13.453,24.447
2026-02-13T10:07:55.835988,baseline_doors_open,2.644,0.643,0.048,-1.036,0.335,18.345,29.069,8.036,15.031,14.105,25.557
2026-02-13T10:07:56.229687,baseline_doors_open,2.898,0.537,0.047,-0.853,0.019,17.287,28.018,7.848,14.031,12.867,24.612
