timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-13T10:43:16.314325,movement_doors_closed_q1,2.959,0.364,0.029,-2.285,3.607,18.299,23.707,6.574,20.935,13.275,20.579
2026-02-13T10:43:16.726541,movement_doors_closed_q1,2.944,0.318,0.017,-1.89,3.278,18.26,34.0,6.77,21.052,13.61,20.036
2026-02-13T10:43:17.136913,movement_doors_closed_q1,3.229,0.369,0.037,-1.661,3.107,17.553,35.0,6.646,19.482,13.156,19.909
2026-02-13T10:43:17.545470,movement_doors_closed_q1,3.041,0.344,0.023,-2.106,3.15,17.962,25.0,6.582,19.55,13.406,20.795
2026-02-13T10:43:17.953394,movement_doors_closed_q1,3.086,0.419,0.039,-2.147,3.27,17.705,23.087,6.454,19.048,13.798,20.151
2026-02-13T10:43:18.363209,movement_doors_closed_q1,2.934,0.441,0.039,-1.892,2.971,18.06,32.0,6.739,19.194,13.521,21.31
2026-02-13T10:43:18.775441,movement_doors_closed_q1,3.186,0.412,0.038,-1.65,3.158,18.336,37.0,6.946,19.995,13.533,21.338
2026-02-13T10:43:19.184246,movement_doors_closed_q1,3.098,0.4,0.035,-2.085,3.092,18.368,27.0,6.75,19.772,13.304,21.862
2026-02-13T10:43:19.593066,movement_doors_closed_q1,3.0,0.435,0.04,-1.988,2.785,18.456,25.612,6.876,18.572,13.538,23.04
2026-02-13T10:43:20.105255,movement_doors_closed_q1,2.936,0.543,0.059,4.116,28.159,20.209,103.0,12.466,24.111,13.868,22.536
2026-02-13T10:43:20.515129,movement_doors_closed_q1,2.979,0.769,0.142,-0.969,1.352,17.394,36.0,7.338,22.046,13.861,16.326
2026-02-13T10:43:21.027086,movement_doors_closed_q1,3.026,1.07,0.373,-0.919,0.874,17.272,34.0,7.442,22.534,13.546,15.806
2026-02-13T10:43:21.333021,movement_doors_closed_q1,2.729,1.347,0.41,3.749,25.465,16.862,82.0,10.048,20.017,12.351,18.157
2026-02-13T10:43:21.742870,movement_doors_closed_q1,2.244,1.328,0.285,-1.064,2.091,15.935,35.0,6.544,15.945,12.391,19.308
2026-02-13T10:43:22.255574,movement_doors_closed_q1,3.005,0.716,0.127,-0.213,3.761,14.936,41.0,6.599,14.748,11.765,18.143
2026-02-13T10:43:22.562974,movement_doors_closed_q1,2.7,1.336,0.244,-1.618,2.142,18.231,32.0,7.08,18.079,13.138,23.237
2026-02-13T10:43:23.076340,movement_doors_closed_q1,2.968,0.973,0.21,0.463,6.603,17.649,55.0,8.096,18.087,12.962,21.704
2026-02-13T10:43:23.381456,movement_doors_closed_q1,2.953,0.902,0.175,-0.777,2.808,16.534,40.0,6.896,16.766,12.523,20.142
2026-02-13T10:43:23.995818,movement_doors_closed_q1,2.814,0.792,0.096,-1.722,2.255,18.93,31.0,7.271,19.16,13.786,23.622
2026-02-13T10:43:24.303139,movement_doors_closed_q1,2.693,0.851,0.181,-1.103,3.648,17.912,42.0,7.069,19.248,13.061,21.265
2026-02-13T10:43:24.712842,movement_doors_closed_q1,2.806,1.392,0.584,-0.902,2.119,17.744,40.0,7.386,21.927,14.146,17.186
2026-02-13T10:43:25.122593,movement_doors_closed_q1,2.959,1.323,0.461,-0.618,1.461,17.357,41.0,7.683,19.219,15.039,17.792
2026-02-13T10:43:25.532125,movement_doors_closed_q1,2.888,0.925,0.18,-1.057,1.912,17.707,38.0,7.29,22.576,13.591,16.989
2026-02-13T10:43:25.940308,movement_doors_closed_q1,2.43,1.296,0.262,-1.685,2.042,18.068,28.0,7.004,17.856,13.835,22.311
2026-02-13T10:43:26.350937,movement_doors_closed_q1,2.488,0.78,0.088,-1.536,3.197,18.7,39.0,7.143,21.194,14.367,20.454
2026-02-13T10:43:26.762064,movement_doors_closed_q1,3.008,0.408,0.036,-1.484,1.955,17.9,33.0,7.063,18.249,14.136,21.158
2026-02-13T10:43:27.273496,movement_doors_closed_q1,3.007,0.373,0.035,-1.611,3.029,18.35,37.0,6.99,20.501,13.334,21.086
2026-02-13T10:43:27.784576,movement_doors_closed_q1,2.948,0.488,0.04,-1.681,2.606,17.605,33.0,6.731,18.429,13.287,20.94
2026-02-13T10:43:28.005039,movement_doors_closed_q1,2.99,0.462,0.039,-1.802,2.374,18.673,25.942,7.106,20.176,14.73,21.002
2026-02-13T10:43:28.502815,movement_doors_closed_q1,2.953,0.454,0.04,-1.583,2.151,17.782,31.0,6.914,19.858,14.106,19.309
2026-02-13T10:43:28.913842,movement_doors_closed_q1,3.083,0.459,0.038,-1.217,3.356,18.088,41.0,7.096,20.128,13.982,20.061
2026-02-13T10:43:29.322585,movement_doors_closed_q1,2.902,0.361,0.023,-2.156,3.305,17.733,23.345,6.455,19.208,13.721,20.153
2026-02-13T10:43:29.730370,movement_doors_closed_q1,3.187,0.291,0.02,-1.997,2.861,18.441,26.0,6.847,19.982,14.116,21.097
2026-02-13T10:43:30.142913,movement_doors_closed_q1,3.114,0.434,0.044,-1.036,3.514,17.371,41.0,6.92,19.061,12.801,20.121
2026-02-13T10:43:30.552010,movement_doors_closed_q1,2.835,0.575,0.077,-1.411,3.372,17.465,38.0,6.724,19.848,13.052,19.403
2026-02-13T10:43:30.959320,movement_doors_closed_q1,2.853,0.542,0.053,-1.764,2.538,18.056,31.0,6.862,21.244,14.188,18.706
2026-02-13T10:43:31.313869,movement_doors_closed_q1,2.999,0.414,0.037,-2.171,3.321,18.1,25.0,6.583,19.313,13.165,21.652
2026-02-13T10:43:31.982356,movement_doors_closed_q1,2.673,0.87,0.141,-2.161,3.492,18.611,30.0,6.747,21.991,13.792,19.986
2026-02-13T10:43:32.289485,movement_doors_closed_q1,2.708,0.805,0.101,0.764,9.334,16.64,54.0,7.492,20.005,11.55,18.286
2026-02-13T10:43:32.701987,movement_doors_closed_q1,2.97,1.135,0.323,1.18,10.919,14.831,51.0,6.928,17.297,11.295,15.852
2026-02-13T10:43:32.998275,movement_doors_closed_q1,2.449,1.918,0.547,-1.174,1.204,15.092,24.166,6.239,18.286,12.203,14.801
2026-02-13T10:43:33.520304,movement_doors_closed_q1,3.058,1.604,0.749,-1.855,2.254,22.846,31.623,8.799,24.883,14.992,28.399
2026-02-13T10:43:33.930805,movement_doors_closed_q1,2.379,2.876,1.195,-2.075,3.135,20.716,29.155,7.605,21.37,15.27,25.291
2026-02-13T10:43:34.338651,movement_doors_closed_q1,2.717,1.757,0.63,5.186,35.161,18.31,120.0,14.493,20.389,13.713,20.713
2026-02-13T10:43:34.750334,movement_doors_closed_q1,2.536,2.411,0.808,-1.304,2.154,18.86,39.0,7.552,22.881,12.671,20.928
2026-02-13T10:43:35.160017,movement_doors_closed_q1,3.004,0.829,0.158,-1.166,2.231,17.884,39.0,7.268,22.411,11.785,19.384
2026-02-13T10:43:35.668760,movement_doors_closed_q1,2.861,1.618,0.764,-1.224,1.039,21.491,33.242,8.91,22.145,12.929,29.039
2026-02-13T10:43:36.078243,movement_doors_closed_q1,3.244,1.546,0.743,-0.8,4.543,19.037,48.0,7.622,22.383,13.148,21.465
2026-02-13T10:43:36.444740,movement_doors_closed_q1,2.619,1.144,0.159,-1.746,2.013,16.259,22.472,6.291,20.417,11.137,17.178
2026-02-13T10:43:37.002965,movement_doors_closed_q1,2.402,1.353,0.219,-1.149,3.548,17.282,40.0,6.8,19.201,11.702,20.776
