timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-18T13:11:06.409595,movement_doors_open_q1,2.271,2.952,2.957,4.411,27.597,15.073,106.0,13.697,15.776,11.89,17.441
2026-02-18T13:11:06.823368,movement_doors_open_q1,2.444,2.712,1.859,6.88,49.72,8.556,118.0,14.361,11.13,6.062,8.479
2026-02-18T13:11:07.334103,movement_doors_open_q1,1.986,2.916,1.082,4.65,29.497,14.899,110.0,14.104,15.821,11.598,17.171
2026-02-18T13:11:07.641985,movement_doors_open_q1,2.393,2.447,1.958,6.885,49.784,8.489,114.0,13.841,10.816,6.163,8.488
2026-02-18T13:11:08.098895,movement_doors_open_q1,2.899,3.307,2.484,5.368,35.566,9.555,78.0,9.719,13.463,5.52,9.677
2026-02-18T13:11:08.459506,movement_doors_open_q1,2.561,2.909,1.354,6.755,48.57,8.635,104.0,12.584,11.415,7.035,7.51
2026-02-18T13:11:08.969270,movement_doors_open_q1,2.761,3.224,1.828,5.327,35.688,10.204,80.0,9.905,12.31,6.778,11.464
2026-02-18T13:11:09.378807,movement_doors_open_q1,2.404,3.63,2.275,6.174,43.001,9.476,101.0,12.429,10.877,6.552,10.929
2026-02-18T13:11:09.793502,movement_doors_open_q1,2.294,3.299,1.466,6.945,50.372,8.633,114.0,13.784,10.544,7.094,8.279
2026-02-18T13:11:10.201124,movement_doors_open_q1,2.875,4.018,4.645,4.928,31.757,15.642,120.0,15.215,17.049,14.398,15.486
2026-02-18T13:11:10.609894,movement_doors_open_q1,2.201,3.327,1.283,6.63,47.45,8.81,95.0,11.437,11.081,5.809,9.506
2026-02-18T13:11:11.019885,movement_doors_open_q1,2.532,3.39,2.102,4.673,29.3,15.329,119.0,15.398,16.082,12.297,17.506
2026-02-18T13:11:11.430988,movement_doors_open_q1,2.45,2.779,2.884,6.66,47.646,8.406,102.0,12.406,10.542,5.57,9.075
2026-02-18T13:11:11.840045,movement_doors_open_q1,2.216,2.671,1.538,6.633,47.31,8.742,106.0,12.913,11.461,6.383,8.398
2026-02-18T13:11:12.353214,movement_doors_open_q1,2.169,2.751,1.676,6.713,48.149,8.528,108.0,13.153,10.548,6.063,8.954
2026-02-18T13:11:12.759046,movement_doors_open_q1,2.363,2.888,2.106,6.767,48.685,8.885,108.0,13.071,11.13,6.308,9.201
2026-02-18T13:11:13.168210,movement_doors_open_q1,2.305,2.342,1.522,4.527,28.757,15.933,111.0,14.186,17.667,12.209,17.831
2026-02-18T13:11:13.579127,movement_doors_open_q1,2.642,1.959,0.743,6.955,50.504,8.077,104.0,12.541,10.873,5.292,8.067
2026-02-18T13:11:13.987658,movement_doors_open_q1,2.51,2.337,1.051,6.84,49.431,8.916,107.0,12.889,11.431,6.269,9.043
2026-02-18T13:11:14.398122,movement_doors_open_q1,2.716,2.583,2.091,6.354,44.729,9.346,101.0,12.332,10.744,7.208,10.052
2026-02-18T13:11:14.722060,movement_doors_open_q1,2.726,2.469,1.099,6.966,50.567,8.255,110.0,13.298,10.922,6.087,7.779
2026-02-18T13:11:15.115849,movement_doors_open_q1,2.298,2.918,1.229,5.912,40.411,9.496,100.0,12.471,10.692,5.9,11.786
2026-02-18T13:11:15.626289,movement_doors_open_q1,2.821,5.023,4.642,3.383,18.973,17.092,108.0,14.904,17.146,16.15,17.939
2026-02-18T13:11:16.036504,movement_doors_open_q1,2.797,4.272,3.861,6.079,42.042,10.185,109.0,13.49,11.102,7.484,11.887
2026-02-18T13:11:16.445696,movement_doors_open_q1,3.132,2.003,0.809,6.885,49.775,8.423,112.0,13.588,11.024,5.985,8.266
2026-02-18T13:11:16.958102,movement_doors_open_q1,2.167,3.597,1.476,4.72,30.195,10.282,76.0,9.694,12.665,5.608,12.468
2026-02-18T13:11:17.264440,movement_doors_open_q1,2.464,3.354,1.925,2.277,11.452,8.885,42.0,6.085,10.687,5.586,10.315
2026-02-18T13:11:17.776018,movement_doors_open_q1,2.742,3.216,1.801,6.441,45.579,9.205,102.0,12.43,10.744,6.462,10.354
2026-02-18T13:11:18.083814,movement_doors_open_q1,2.283,2.328,1.014,6.852,49.445,8.766,120.0,14.616,11.069,6.217,9.0
2026-02-18T13:11:18.595556,movement_doors_open_q1,2.137,2.491,1.608,6.904,49.888,8.272,118.0,14.387,10.647,5.968,8.203
2026-02-18T13:11:18.905155,movement_doors_open_q1,2.043,2.518,1.422,0.805,3.212,7.579,27.0,4.582,7.375,5.921,9.356
2026-02-18T13:11:19.417963,movement_doors_open_q1,2.068,2.88,2.166,6.772,48.74,8.814,111.0,13.473,10.609,6.307,9.495
2026-02-18T13:11:19.722785,movement_doors_open_q1,2.304,3.103,2.644,6.182,43.126,9.526,97.0,11.871,11.33,6.583,10.612
2026-02-18T13:11:20.336010,movement_doors_open_q1,3.003,1.704,0.678,6.438,45.62,8.812,93.0,11.275,12.599,6.12,7.766
2026-02-18T13:11:20.481452,movement_doors_open_q1,2.386,4.613,2.232,6.807,49.087,9.372,120.0,14.561,10.204,7.335,10.521
2026-02-18T13:11:21.053047,movement_doors_open_q1,3.107,2.232,1.123,4.793,30.665,14.538,107.0,13.59,15.299,14.55,13.8
2026-02-18T13:11:21.462681,movement_doors_open_q1,3.135,2.834,1.641,5.411,35.611,14.129,126.0,15.88,15.906,12.584,13.906
2026-02-18T13:11:21.871477,movement_doors_open_q1,2.82,4.87,4.049,4.859,31.302,10.453,84.0,10.758,12.783,4.829,13.598
2026-02-18T13:11:22.284505,movement_doors_open_q1,2.26,2.839,1.567,5.546,37.412,10.908,98.0,12.22,11.868,6.128,14.555
2026-02-18T13:11:22.691360,movement_doors_open_q1,2.448,4.616,3.473,6.905,50.029,9.31,115.0,13.849,11.089,7.007,9.81
2026-02-18T13:11:23.203105,movement_doors_open_q1,2.466,3.135,1.208,5.521,36.931,9.274,85.0,10.657,8.931,7.329,11.459
2026-02-18T13:11:23.612395,movement_doors_open_q1,2.75,2.963,1.63,6.845,49.374,8.894,119.0,14.472,10.839,7.384,8.479
2026-02-18T13:11:24.025634,movement_doors_open_q1,3.149,2.612,1.628,2.221,12.888,19.052,83.0,11.499,19.033,13.231,24.627
2026-02-18T13:11:24.431288,movement_doors_open_q1,2.777,2.337,1.055,5.591,37.229,9.239,86.0,10.783,13.101,5.492,9.13
2026-02-18T13:11:24.843913,movement_doors_open_q1,2.681,2.632,1.263,6.739,48.359,8.291,105.0,12.774,11.095,5.413,8.363
2026-02-18T13:11:25.253959,movement_doors_open_q1,2.33,2.82,2.338,4.668,29.603,16.133,121.0,15.539,18.409,11.927,17.976
2026-02-18T13:11:25.602438,movement_doors_open_q1,2.059,2.686,1.798,6.781,48.792,8.76,112.0,13.608,11.195,5.988,9.083
