timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-13T10:21:02.058332,movement_doors_open_stairs,3.117,0.367,0.032,-0.891,0.016,17.479,27.459,7.925,13.761,13.754,24.585
2026-02-13T10:21:02.690185,movement_doors_open_stairs,2.784,0.449,0.033,-0.887,0.052,17.893,28.636,8.096,14.274,13.904,25.154
2026-02-13T10:21:03.065481,movement_doors_open_stairs,1.573,1.41,0.15,-0.961,0.162,16.878,26.476,7.524,13.536,13.153,23.622
2026-02-13T10:21:03.578211,movement_doors_open_stairs,2.95,0.502,0.038,-0.934,0.095,17.175,26.833,7.705,13.874,13.438,23.894
2026-02-13T10:21:03.986374,movement_doors_open_stairs,1.555,1.207,0.106,-1.026,0.312,17.673,27.295,7.753,14.325,13.67,24.69
2026-02-13T10:21:04.395693,movement_doors_open_stairs,2.909,0.445,0.036,-1.033,0.316,17.747,28.178,7.792,14.38,13.773,24.755
2026-02-13T10:21:04.807120,movement_doors_open_stairs,2.907,0.467,0.036,-1.006,0.258,17.661,27.803,7.826,14.309,13.924,24.428
2026-02-13T10:21:05.216161,movement_doors_open_stairs,1.78,1.211,0.122,-1.156,0.613,17.697,27.166,7.552,14.847,13.528,24.396
2026-02-13T10:21:05.625109,movement_doors_open_stairs,1.923,1.1,0.095,-1.246,0.906,18.228,27.019,7.605,15.698,13.96,24.717
2026-02-13T10:21:06.137840,movement_doors_open_stairs,2.117,1.152,0.154,-1.095,0.435,17.43,27.203,7.562,14.378,13.4,24.189
2026-02-13T10:21:06.547086,movement_doors_open_stairs,2.241,1.197,0.175,-1.197,0.575,17.014,25.495,7.269,14.319,13.374,23.061
2026-02-13T10:21:06.956434,movement_doors_open_stairs,3.199,0.651,0.103,-1.11,0.479,17.971,26.926,7.76,14.841,14.184,24.575
2026-02-13T10:21:07.366224,movement_doors_open_stairs,3.047,0.606,0.072,-1.777,2.206,18.268,25.298,7.004,17.508,13.776,23.28
2026-02-13T10:21:07.775627,movement_doors_open_stairs,2.929,0.841,0.21,-1.288,0.989,17.972,27.019,7.452,15.524,13.829,24.263
2026-02-13T10:21:08.184769,movement_doors_open_stairs,2.757,0.914,0.138,-1.377,1.133,31.508,46.755,12.911,27.616,25.223,41.222
2026-02-13T10:21:08.592858,movement_doors_open_stairs,3.096,0.833,0.182,-1.395,1.186,18.071,25.612,7.371,16.262,13.243,24.406
2026-02-13T10:21:09.004915,movement_doors_open_stairs,3.069,1.198,0.288,-1.137,0.484,19.114,28.302,8.275,17.445,12.951,26.59
