timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-21T14:21:37.250836,baseline_doors_0_0_0,2.778,0.635,0.355,-0.511,1.33,18.991,46.0,8.613,20.556,11.394,24.749,46.0,29.0,28.86,25.96,25.46,24.52,23.09,18.6,20.02,20.25,18.44,19.42,15.52,17.69,15.13,15.13,16.64,13.89,14.14,11.7,12.21,13.04,15.26,14.21,15.03,16.16,17.49,18.25,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.49,16.16,19.92,18.38,19.65,21.02,22.02,23.09,22.85,20.25,24.02,22.47,25.63,24.19,24.08,25.3,23.19,24.08,21.95,26.17,24.21,25.5,26.17,27.2,26.93,27.17,28.6,29.41,0.1254,1.842,6.1535
2026-02-21T14:21:37.660565,baseline_doors_0_0_0,2.956,0.605,0.225,-0.219,2.26,18.722,50.0,8.648,20.77,11.236,23.914,50.0,27.73,27.17,26.63,25.3,24.33,23.43,23.41,20.1,19.42,20.12,18.0,18.03,13.93,15.0,14.32,14.21,13.04,15.13,13.45,13.42,12.65,14.14,16.55,16.49,15.56,14.32,17.26,18.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,16.0,16.64,18.79,19.1,21.4,21.19,22.56,19.85,22.56,19.7,23.71,25.02,25.55,25.24,22.02,22.83,23.32,23.0,23.32,25.24,21.02,25.06,25.5,29.15,28.18,26.08,26.0,0.015,1.8652,6.2432
2026-02-21T14:21:37.973219,baseline_doors_0_0_0,3.151,0.603,0.178,0.254,3.562,18.729,56.0,9.087,20.674,11.087,24.167,56.0,29.27,27.02,25.63,25.18,23.43,22.47,22.2,21.4,21.02,17.03,18.87,17.2,13.34,13.0,14.21,12.37,13.34,12.81,14.32,14.04,13.42,14.42,15.03,15.65,15.81,15.03,16.64,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46,18.6,17.03,18.79,18.36,20.02,20.25,20.62,20.02,24.21,23.54,23.09,26.25,25.0,23.09,22.63,23.41,22.56,23.35,23.77,22.56,24.84,26.25,25.32,28.02,27.73,27.17,28.02,-0.1576,1.8219,6.2119
2026-02-21T14:21:38.369544,baseline_doors_0_0_0,3.215,0.632,0.21,1.787,10.81,18.012,71.0,9.956,20.262,10.676,22.866,71.0,28.44,24.21,23.41,22.02,25.24,21.93,20.1,18.87,19.1,14.87,18.25,16.28,15.23,11.05,11.4,12.81,13.04,12.08,12.04,14.14,13.6,15.56,14.76,14.14,17.0,14.42,15.13,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.81,18.03,15.26,17.89,18.0,18.03,17.89,20.22,19.42,22.14,20.22,23.43,25.3,22.36,20.81,22.47,21.02,21.93,21.47,24.08,23.26,21.93,23.19,25.0,24.76,27.51,26.31,28.32,-0.1132,1.8172,6.1835
2026-02-21T14:21:38.892295,baseline_doors_0_0_0,2.925,0.676,0.206,-0.383,1.486,20.136,51.0,9.332,21.418,12.606,26.1,51.0,27.86,30.36,26.17,29.12,24.35,24.08,22.8,17.46,25.24,19.7,20.4,19.1,17.09,17.03,12.21,13.45,12.65,11.4,15.26,13.04,17.49,13.6,17.12,18.03,17.09,15.3,21.63,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,20.4,21.95,20.25,23.02,22.67,22.85,21.59,24.76,23.41,21.93,26.08,25.0,23.32,25.06,26.08,25.0,27.78,28.02,25.5,26.08,24.19,26.93,28.65,28.02,30.23,31.95,31.78,-0.0758,1.8534,6.2397
2026-02-21T14:21:39.193021,baseline_doors_0_0_0,2.68,0.879,0.33,0.498,4.815,20.076,63.0,9.801,22.7,11.745,25.523,63.0,31.24,30.15,29.55,27.2,26.08,23.77,23.02,21.1,20.62,20.25,18.11,17.09,16.4,16.28,15.52,15.62,15.65,16.03,14.76,15.26,14.04,14.76,15.26,15.03,16.64,17.49,19.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44,18.44,17.46,18.87,20.0,21.1,22.36,24.08,24.21,24.7,23.77,25.46,23.54,24.35,23.43,23.35,24.35,24.21,25.32,25.63,26.91,25.96,27.66,26.87,28.86,28.16,29.07,29.27,0.039,1.8604,6.2
2026-02-21T14:21:39.710649,baseline_doors_0_0_0,2.83,0.607,0.174,2.878,17.58,10.528,49.0,6.452,12.209,6.015,13.232,49.0,14.76,14.76,14.04,13.89,13.42,13.0,12.53,11.66,11.05,10.44,9.22,8.25,8.25,7.07,7.28,7.28,7.81,7.62,7.0,8.06,7.81,8.25,8.25,7.81,8.25,7.62,8.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,10.44,9.49,9.22,10.2,10.77,10.82,11.0,11.66,12.08,13.04,13.6,14.32,14.04,12.81,12.53,12.04,12.21,12.08,13.04,12.81,13.42,14.04,15.26,15.26,15.03,14.76,15.26,-0.0014,1.839,6.2119
2026-02-21T14:21:40.121051,baseline_doors_0_0_0,3.102,0.671,0.209,-0.546,1.039,18.501,43.0,8.395,20.512,10.862,23.874,43.0,31.58,29.83,27.2,26.31,22.2,20.25,21.02,21.47,17.46,21.21,17.0,17.2,13.34,16.76,15.62,14.76,14.0,14.32,13.04,13.15,13.93,13.45,14.32,12.65,15.62,17.46,15.81,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44,16.12,17.0,15.62,22.2,17.09,19.42,23.02,22.47,22.2,24.02,22.36,21.47,24.02,22.2,23.02,25.02,22.36,22.67,25.02,23.77,25.46,23.77,23.54,25.46,26.57,27.66,29.73,0.1305,1.8749,6.092
2026-02-21T14:21:40.529045,baseline_doors_0_0_0,2.91,0.589,0.162,-0.455,1.114,18.324,44.0,8.416,20.036,10.843,23.83,44.0,29.7,28.86,26.93,25.0,22.56,22.8,19.85,18.25,19.31,16.4,18.25,18.68,17.03,13.89,14.14,13.0,13.04,12.04,13.42,13.6,13.15,15.23,14.21,15.03,14.56,14.21,17.12,18.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64,17.72,15.52,18.6,18.03,18.79,19.85,20.02,19.72,20.12,23.19,22.63,26.48,23.35,21.93,21.38,22.36,21.93,25.0,25.96,25.5,25.3,23.35,26.25,27.51,25.32,28.32,28.79,0.1514,1.8649,6.1033
2026-02-21T14:21:40.879780,baseline_doors_0_0_0,2.518,0.609,0.38,2.921,18.071,13.817,64.0,8.368,16.383,7.802,17.11,64.0,20.0,20.59,20.12,19.0,18.36,16.12,15.0,13.89,13.89,12.04,12.53,12.21,12.17,11.4,11.31,10.77,10.0,10.3,10.3,10.05,9.85,9.43,10.2,9.85,10.82,12.04,13.42,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17,12.04,11.4,12.65,12.81,14.14,15.23,16.4,16.03,16.12,16.12,16.03,15.81,16.55,16.12,16.4,17.46,16.12,17.49,17.49,18.0,18.36,16.64,18.0,17.89,18.87,19.0,20.25,0.1498,1.8736,6.1588
