timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-21T15:19:37.978700,movement_1_1_1_hallway,2.585,1.007,1.721,4.841,31.503,15.807,112.0,14.054,24.522,6.488,16.384,112.0,23.09,22.8,22.14,21.21,22.8,23.71,23.0,21.02,20.81,20.22,19.92,18.44,20.25,19.24,17.8,16.16,17.26,17.03,18.03,18.03,14.42,13.6,15.3,11.66,9.22,13.15,7.62,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,7.07,6.32,7.28,6.32,10.82,8.94,8.25,9.22,10.05,13.34,13.6,17.26,16.49,13.45,14.87,15.13,14.21,18.97,16.28,18.36,18.6,20.0,21.93,22.8,21.21,24.04,23.43,0.0375,1.8174,6.2277
2026-02-21T15:19:38.301141,movement_1_1_1_hallway,1.396,0.467,1.136,4.248,26.752,15.361,96.0,12.24,23.496,6.301,16.245,96.0,23.6,23.09,22.47,22.8,22.36,21.54,22.67,21.59,19.42,19.21,19.31,20.22,17.8,17.09,18.25,17.8,18.03,18.11,16.4,15.65,15.13,15.0,10.77,10.2,10.63,10.77,9.49,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,6.32,6.4,7.28,6.71,8.06,9.06,11.4,12.08,12.17,12.81,14.56,14.04,14.87,14.87,14.32,14.87,15.81,15.3,17.8,18.38,19.1,19.42,21.1,21.02,20.59,21.63,22.2,-0.0022,1.8151,6.1783
2026-02-21T15:19:38.794776,movement_1_1_1_hallway,1.901,0.553,1.416,-0.752,-0.24,14.65,27.0,6.971,20.287,6.738,16.822,27.0,24.04,23.77,22.83,23.02,21.26,20.52,21.63,20.59,21.54,19.92,19.24,19.03,19.03,18.25,18.68,18.38,17.49,17.03,16.97,15.81,14.76,13.93,13.34,12.04,12.0,11.18,10.44,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,6.32,7.07,7.0,8.25,9.49,10.3,10.63,12.04,13.04,13.0,14.56,15.13,15.03,16.28,15.81,16.16,17.0,17.2,18.38,18.44,18.6,20.59,20.62,21.84,21.38,22.02,22.02,0.2312,1.8904,6.1033
2026-02-21T15:19:39.204511,movement_1_1_1_hallway,1.437,0.45,0.708,5.021,33.065,14.856,108.0,13.457,23.439,5.837,15.273,108.0,21.93,22.02,22.2,22.14,21.21,20.62,22.2,20.25,20.12,20.02,18.87,17.2,17.12,17.09,17.2,17.46,16.76,17.69,15.81,16.28,14.21,11.7,12.37,11.4,10.44,10.05,9.22,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,5.1,5.0,6.08,6.71,7.21,9.0,10.82,11.66,12.0,12.08,13.42,13.15,13.04,12.53,14.04,13.89,15.81,16.12,17.09,17.69,16.76,18.11,20.0,18.79,20.02,19.72,20.25,0.2621,1.8143,5.9803
2026-02-21T15:19:39.602922,movement_1_1_1_hallway,1.852,0.537,1.352,4.92,32.237,14.958,106.0,13.231,23.435,5.996,15.421,106.0,22.2,21.93,22.0,22.36,22.2,21.21,20.88,20.52,20.25,18.25,17.8,17.89,18.0,18.36,18.03,18.11,17.09,17.03,16.49,15.52,14.14,13.6,11.18,10.63,10.44,10.2,9.22,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.39,6.32,7.07,8.25,9.49,10.63,11.4,12.37,11.31,12.37,12.37,12.73,13.6,14.56,14.87,15.81,17.12,17.2,17.49,18.11,18.38,18.44,19.65,19.65,20.52,21.19,0.2251,1.8353,6.1661
2026-02-21T15:19:40.023759,movement_1_1_1_hallway,2.467,1.623,2.713,4.747,30.86,15.136,103.0,12.901,23.313,6.047,16.007,103.0,21.4,22.85,22.2,23.32,20.59,23.02,20.62,21.26,20.4,18.44,17.8,17.72,16.76,18.38,18.03,18.11,17.2,16.16,17.03,15.26,13.6,13.0,12.53,10.3,10.0,9.43,10.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.83,5.0,6.08,7.21,8.6,9.0,12.81,12.53,13.0,11.4,14.56,14.04,13.45,14.87,15.3,16.4,15.65,18.03,16.64,18.36,17.12,19.92,17.8,19.65,19.92,20.52,21.19,0.1669,1.8587,6.2277
2026-02-21T15:19:40.349485,movement_1_1_1_hallway,2.126,0.684,2.372,4.892,31.961,15.36,108.0,13.491,23.812,6.175,16.058,108.0,23.6,23.02,23.02,23.41,23.43,22.47,20.1,20.59,21.1,19.24,20.25,17.03,17.46,17.72,17.69,17.46,15.03,17.89,16.4,15.13,13.93,12.04,11.4,11.18,10.0,8.94,10.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,5.1,5.1,7.07,8.54,9.22,10.63,11.18,10.0,11.66,13.0,15.03,12.21,14.42,15.0,14.32,16.4,17.46,17.09,17.69,17.0,18.0,19.24,18.6,20.62,20.62,21.93,21.19,0.0809,1.8418,6.2166
2026-02-21T15:19:40.842776,movement_1_1_1_hallway,1.624,0.297,0.988,-0.611,-0.619,14.262,24.187,7.179,19.943,5.927,16.794,20.0,24.19,23.71,23.41,23.77,22.36,21.02,22.09,21.38,20.88,20.25,20.12,18.87,19.21,18.38,17.8,17.0,17.46,16.76,15.13,15.0,13.15,13.34,12.08,10.82,9.9,9.22,9.9,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,5.39,5.83,6.4,7.07,7.81,9.22,10.05,11.0,12.65,12.65,13.6,14.87,15.62,15.81,16.55,15.81,15.81,16.28,19.03,19.1,18.25,20.62,20.25,22.36,22.47,23.43,24.04,-0.0624,1.7598,6.1257
2026-02-21T15:19:41.253295,movement_1_1_1_hallway,2.083,0.61,2.35,5.172,34.391,14.149,105.0,13.005,22.315,5.62,14.495,105.0,20.22,19.7,19.8,21.59,20.4,19.42,20.12,20.0,17.89,17.49,18.25,17.72,16.97,17.72,16.28,16.4,17.09,16.03,16.64,13.89,13.0,12.08,11.4,9.06,10.77,9.43,9.0,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.39,5.66,7.0,7.62,8.06,10.05,10.82,11.66,12.0,12.21,12.53,13.04,11.66,12.53,14.0,14.76,15.26,16.28,16.76,17.8,17.09,18.11,18.03,19.42,18.03,18.79,0.0081,1.808,6.2208
2026-02-21T15:19:41.617793,movement_1_1_1_hallway,2.105,0.714,1.859,4.1,25.835,14.143,84.0,10.694,21.028,6.26,15.097,84.0,21.02,21.47,20.59,20.0,18.87,18.79,19.1,19.21,18.79,18.25,17.8,17.46,18.11,17.2,17.09,15.52,15.62,13.6,14.87,14.21,14.32,13.42,12.81,11.05,9.85,9.43,10.05,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.21,7.62,7.28,8.49,9.49,9.49,10.63,11.0,11.66,12.65,13.6,14.21,15.3,14.87,15.62,15.3,15.81,16.4,16.03,16.16,17.2,17.12,19.24,18.87,20.02,21.47,0.1064,1.8406,6.118
