timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-21T10:35:43.458296,movement_doors_closed_hallway,2.844,0.659,0.362,4.461,29.092,12.719,77.0,9.576,17.776,5.91,14.39,77.0,17.69,17.69,17.89,16.28,18.03,17.26,17.09,16.64,16.28,14.76,15.81,14.04,14.14,13.93,12.21,13.45,11.66,11.18,11.05,9.22,8.94,8.49,8.06,7.28,7.0,5.39,5.39,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.63,11.66,11.4,11.0,12.17,12.53,12.81,13.04,13.0,13.15,14.04,15.52,13.04,13.45,14.21,13.42,13.6,15.0,14.32,15.23,14.42,14.87,14.42,15.81,16.12,17.12,17.46,0.1028,1.802,6.118
2026-02-21T10:35:43.865624,movement_doors_closed_hallway,3.039,0.661,0.145,0.742,4.737,16.856,57.0,9.002,21.381,7.701,21.276,57.0,26.17,25.81,24.6,23.09,23.19,22.0,21.38,21.19,21.1,20.62,19.1,18.36,18.97,17.26,17.03,16.49,15.23,14.42,13.45,12.53,11.7,11.05,10.05,9.49,9.43,7.81,7.21,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.32,14.32,14.42,14.21,15.65,16.49,17.03,17.26,18.03,17.49,19.1,19.42,19.31,19.42,20.02,21.38,21.84,22.36,22.02,22.67,23.32,24.7,25.5,25.02,25.18,25.0,25.5,0.2559,1.6513,6.1238
2026-02-21T10:35:44.276726,movement_doors_closed_hallway,2.628,0.659,0.263,0.635,4.944,14.631,48.0,7.48,17.37,7.292,19.023,48.0,21.19,20.4,19.1,19.0,18.25,17.72,17.46,16.64,16.28,16.28,15.62,14.76,14.56,14.14,14.0,14.14,12.65,12.53,11.4,10.63,10.82,11.18,9.22,9.0,9.06,7.28,7.62,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.15,13.0,13.04,13.45,15.26,15.23,15.81,16.03,17.03,17.46,17.46,18.36,17.69,19.1,18.6,19.24,20.25,19.42,20.1,20.02,20.22,20.88,21.02,21.1,21.4,21.26,20.81,0.0998,1.9583,6.2244
2026-02-21T10:35:44.686035,movement_doors_closed_hallway,2.8,0.673,0.265,3.017,18.855,13.548,64.0,8.328,17.562,6.972,15.995,64.0,19.42,17.46,19.65,16.03,19.03,16.28,17.09,16.64,16.28,15.0,15.23,15.52,15.0,14.14,13.0,13.6,12.73,12.21,10.44,10.05,10.05,10.77,9.43,8.49,8.06,7.62,8.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,13.34,12.53,12.81,12.21,13.0,13.34,14.04,13.6,13.89,13.45,14.42,14.32,15.3,15.03,15.3,16.16,15.26,16.28,16.4,17.49,17.09,17.46,18.0,18.25,18.97,19.24,18.6,0.3855,1.7295,6.118
2026-02-21T10:35:45.094169,movement_doors_closed_hallway,2.657,0.609,0.284,4.125,26.656,12.332,70.0,8.771,15.409,6.481,14.978,70.0,17.12,16.49,15.65,15.0,15.56,14.42,13.0,14.14,13.0,12.37,12.08,12.21,11.4,11.18,10.44,11.05,10.2,9.85,9.22,9.22,8.6,8.25,8.0,7.07,6.32,5.83,6.4,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.04,13.6,13.0,13.15,14.0,13.93,13.04,12.81,13.42,14.32,15.0,15.13,13.93,14.42,14.87,14.42,15.23,15.3,16.0,15.13,15.52,15.65,16.4,16.28,15.81,16.16,16.76,0.1051,1.8596,6.1506
2026-02-21T10:35:45.608425,movement_doors_closed_hallway,2.994,0.394,0.113,2.173,14.402,15.133,62.0,8.268,18.906,8.057,18.288,62.0,19.7,19.92,19.1,18.03,18.44,17.09,17.49,17.03,17.03,16.64,17.09,16.49,17.0,15.13,17.09,16.12,15.62,14.21,13.42,12.37,12.17,12.17,11.4,9.85,9.22,8.6,9.43,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,14.21,15.0,14.32,16.12,15.03,17.46,17.0,17.8,17.69,17.0,18.68,18.25,18.03,17.46,18.03,18.03,18.44,18.44,19.24,18.03,18.44,19.0,19.24,18.97,18.79,19.21,19.1,-0.1619,1.8813,6.2166
2026-02-21T10:35:46.019242,movement_doors_closed_hallway,3.15,0.633,0.137,1.787,10.872,14.014,57.0,8.043,17.209,6.974,17.685,57.0,20.02,18.44,19.31,18.36,17.8,16.97,17.2,17.0,15.52,15.13,15.0,15.3,14.56,14.32,12.81,13.45,12.21,10.77,10.2,10.0,9.06,8.54,8.06,7.07,6.71,6.32,6.08,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,14.32,15.0,15.3,14.76,15.81,15.62,16.12,15.52,16.03,17.12,16.76,17.46,16.4,17.03,15.81,18.03,17.46,19.0,18.11,18.97,18.79,18.87,19.1,19.21,19.24,18.97,19.42,-0.1243,1.6172,6.0257
2026-02-21T10:35:46.428706,movement_doors_closed_hallway,2.487,0.551,0.209,1.753,11.454,14.331,56.0,7.742,16.915,7.748,18.147,56.0,18.68,18.11,18.03,16.12,17.72,16.16,16.64,16.4,14.87,14.42,15.65,13.6,14.04,14.04,13.34,13.6,12.53,12.04,12.04,11.18,9.85,11.18,10.0,9.22,8.54,8.94,7.81,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,14.14,15.23,15.26,14.87,15.81,17.09,16.49,17.0,17.12,17.72,17.89,18.87,17.69,17.8,17.49,18.38,18.68,18.11,19.0,19.24,18.44,19.31,18.36,19.21,18.38,18.6,18.36,0.105,1.9639,6.1661
2026-02-21T10:35:46.836448,movement_doors_closed_hallway,3.212,0.633,0.124,1.606,10.356,14.743,57.0,8.024,18.684,7.52,17.875,57.0,20.52,19.85,19.72,19.7,19.65,18.25,19.0,18.25,18.03,16.55,17.2,16.97,15.81,15.65,14.87,15.13,14.04,13.6,11.18,11.4,10.63,10.3,9.49,8.06,8.06,7.28,7.62,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.42,14.87,14.76,14.56,15.03,15.03,15.81,15.26,15.56,15.81,16.55,17.72,16.12,17.12,16.49,17.09,17.49,17.8,18.44,18.6,17.89,19.31,19.42,20.02,20.1,19.42,20.62,20.59,0.2066,1.6755,6.1336
2026-02-21T10:35:47.348130,movement_doors_closed_hallway,2.729,0.405,0.113,1.722,10.909,14.688,58.0,8.12,18.357,7.447,18.097,58.0,20.62,19.72,17.8,19.8,19.42,18.79,18.68,17.26,17.0,17.12,16.76,16.55,15.81,14.14,14.42,14.32,13.34,13.0,12.17,10.77,10.3,9.9,10.0,8.54,8.25,7.07,7.28,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,14.14,14.87,14.42,15.62,15.26,15.81,15.13,16.12,16.76,17.0,18.44,16.97,17.49,17.46,16.49,17.03,19.24,17.72,19.7,18.6,19.1,19.21,20.12,20.25,19.42,20.02,20.02,0.1075,1.6326,6.1833
2026-02-21T10:35:47.759709,movement_doors_closed_hallway,3.12,0.449,0.088,2.185,13.469,14.854,63.0,8.591,18.545,7.541,18.312,63.0,21.26,19.21,19.72,19.31,19.65,18.03,18.11,17.46,17.0,16.64,16.28,15.81,15.65,15.52,14.0,15.13,13.0,13.04,11.31,10.3,10.77,11.05,9.06,8.54,8.06,7.07,7.21,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,15.13,14.87,14.42,14.87,15.65,14.56,16.03,16.28,16.16,16.64,17.03,17.2,17.46,17.26,18.0,18.44,18.03,18.87,19.21,19.85,19.72,19.7,20.4,20.02,20.1,20.88,21.02,0.233,1.6817,6.1336
