timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-21T15:26:35.460271,movement_1_1_1_stairs,2.566,1.024,1.211,0.941,3.646,16.429,62.0,10.5,25.737,6.063,17.44,62.0,29.55,29.83,26.25,26.48,25.3,24.41,28.16,28.65,27.46,27.02,24.6,23.02,20.02,23.02,19.92,21.84,20.0,20.88,16.49,15.56,16.12,13.42,13.89,11.4,8.6,11.7,13.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.61,4.24,8.6,6.71,7.21,8.06,10.77,11.18,10.0,10.05,14.87,14.76,15.81,17.03,17.12,16.76,17.2,18.44,17.0,18.87,21.1,20.81,21.47,24.33,25.61,25.96,26.48,0.1261,1.8589,6.118
2026-02-21T15:26:35.873308,movement_1_1_1_stairs,3.097,2.272,1.664,5.594,38.029,13.059,105.0,12.854,20.164,5.108,13.868,105.0,18.11,19.72,19.42,19.03,19.7,17.2,17.72,18.97,16.28,14.32,16.0,14.42,14.32,14.14,13.42,13.6,13.6,12.37,13.45,12.65,13.04,10.0,8.94,9.06,8.06,8.94,7.07,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,5.0,5.83,6.32,5.1,7.81,9.22,10.2,10.0,10.44,12.17,12.81,11.66,13.15,12.04,13.6,12.17,14.21,14.76,15.0,15.23,15.81,16.28,16.76,17.03,17.09,18.25,17.2,0.1989,1.8115,6.0858
2026-02-21T15:26:36.279047,movement_1_1_1_stairs,2.744,2.72,2.192,2.179,11.785,21.849,98.0,13.926,31.747,9.125,24.546,98.0,35.51,35.47,31.14,32.02,33.24,31.83,31.32,31.58,31.62,32.76,25.0,30.08,23.6,26.93,25.71,22.8,22.2,22.2,22.2,21.47,21.02,18.87,17.49,17.12,14.32,14.32,14.04,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54,10.44,10.0,10.63,10.77,12.37,14.21,15.3,16.76,18.44,18.03,21.02,22.8,23.0,23.41,25.55,23.77,24.74,26.4,28.44,24.52,25.5,27.86,29.15,31.06,33.62,32.0,34.44,-0.1228,1.829,6.2356
2026-02-21T15:26:36.692330,movement_1_1_1_stairs,3.073,1.902,1.687,1.983,10.16,15.758,73.0,10.784,24.016,6.1,17.093,73.0,26.4,26.17,26.0,25.0,24.33,23.77,22.2,23.19,22.85,22.2,22.09,21.19,21.26,20.4,19.65,19.1,17.46,16.49,16.28,15.3,15.23,15.62,14.14,13.0,12.81,11.18,10.44,10.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.24,3.16,5.0,6.08,6.32,8.6,9.06,9.85,10.3,11.18,12.73,13.6,14.32,16.4,16.03,17.46,18.6,19.1,20.62,20.0,19.1,20.62,22.2,23.09,23.26,23.85,26.08,0.207,1.8597,5.9614
2026-02-21T15:26:37.101077,movement_1_1_1_stairs,2.722,1.235,1.206,-0.472,-0.332,19.718,45.0,10.178,29.495,9.291,20.339,45.0,33.02,32.06,31.02,31.3,28.3,29.83,29.21,28.84,29.97,28.79,29.27,29.02,28.44,27.2,30.08,27.46,28.32,24.76,25.55,21.93,25.63,22.2,20.0,19.24,17.46,15.23,18.44,10.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.62,8.06,7.21,12.21,12.81,12.37,14.04,13.15,16.49,18.6,16.28,19.21,21.1,18.68,18.11,20.22,23.19,22.56,22.85,23.85,23.6,24.76,26.25,26.08,27.29,25.96,-0.1899,1.8783,6.1065
2026-02-21T15:26:37.508721,movement_1_1_1_stairs,2.662,3.479,3.214,2.474,13.913,20.004,94.0,13.043,30.155,8.809,20.999,94.0,31.4,30.15,30.46,29.83,28.44,28.79,28.43,28.64,29.12,29.0,27.51,26.17,25.81,25.08,24.08,24.41,24.17,23.19,22.2,22.36,20.1,18.6,18.79,17.03,16.12,13.89,14.04,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,8.54,8.49,9.22,9.85,10.0,12.04,13.04,13.42,15.13,15.62,18.03,18.44,19.1,19.31,20.4,19.85,22.14,21.38,22.67,23.41,23.35,25.0,25.5,28.02,27.78,28.3,30.07,-0.1262,1.8593,6.2475
2026-02-21T15:26:37.917444,movement_1_1_1_stairs,3.015,2.153,1.884,1.768,10.223,31.317,127.0,18.127,44.938,13.904,34.936,127.0,46.84,46.87,47.8,46.62,44.18,43.83,42.49,42.0,42.54,39.82,41.05,39.81,39.41,39.32,37.58,39.2,36.35,34.93,35.0,31.06,29.07,26.93,26.02,22.83,21.95,21.02,19.24,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,15.81,16.03,17.49,20.25,23.0,23.32,27.78,27.02,28.3,29.55,30.15,31.24,31.78,33.24,32.8,35.34,35.23,37.22,36.72,39.12,37.59,38.6,42.43,40.85,41.77,43.42,45.12,0.0951,1.8368,6.1694
2026-02-21T15:26:38.326949,movement_1_1_1_stairs,2.839,3.823,3.63,5.184,34.172,11.145,87.0,10.873,17.875,4.356,11.202,87.0,18.25,17.8,17.09,16.28,16.28,16.28,15.23,15.81,16.12,15.23,15.0,14.04,13.0,13.6,13.0,11.66,10.77,11.18,11.31,10.44,10.44,9.9,9.49,8.25,7.81,6.32,6.32,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,3.16,4.24,5.1,5.39,6.4,6.08,6.32,7.21,7.0,8.06,8.25,8.54,10.0,10.2,10.77,11.4,11.18,11.7,12.04,12.04,12.53,13.04,14.0,15.26,15.65,17.12,18.03,0.0799,1.8558,6.1661
2026-02-21T15:26:38.736825,movement_1_1_1_stairs,2.647,2.47,1.85,3.919,24.2,20.433,119.0,15.318,30.163,8.785,22.264,119.0,28.28,26.25,30.53,31.14,34.21,33.3,32.28,27.89,27.66,22.14,26.31,20.62,26.93,23.19,21.4,22.14,22.02,20.81,19.31,18.03,18.03,18.36,19.1,13.04,14.32,16.28,13.42,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77,8.06,11.4,8.06,9.85,13.6,14.32,15.0,17.46,17.72,21.4,21.1,19.31,20.0,19.03,21.1,21.93,21.02,22.2,23.02,26.0,25.06,25.06,27.02,27.86,27.8,28.16,28.23,0.1415,1.8241,6.2378
2026-02-21T15:26:39.145600,movement_1_1_1_stairs,2.902,2.186,2.053,-0.447,-0.754,20.129,39.0,10.613,29.089,7.925,23.225,39.0,32.2,36.72,34.54,34.53,34.01,31.14,33.24,30.46,30.02,28.32,29.07,27.46,27.31,27.66,23.19,22.09,25.08,22.56,25.24,17.03,21.93,18.03,15.26,12.65,11.05,12.65,14.14,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,6.4,6.71,8.06,10.77,10.05,14.87,14.32,15.62,14.21,19.24,18.11,21.02,23.35,22.8,21.54,19.72,25.46,26.25,24.17,25.71,24.74,29.15,26.02,31.26,30.08,30.87,32.45,0.1526,1.6498,6.1417
