timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-21T10:37:07.014237,movement_doors_closed_stairs,2.669,1.16,0.982,2.25,12.051,13.312,59.0,8.323,20.331,6.792,12.835,59.0,21.38,21.0,21.21,21.19,21.95,21.26,21.4,20.59,18.97,18.25,19.0,18.44,17.46,16.64,16.28,16.4,14.76,14.56,14.04,13.15,12.65,13.04,12.04,11.4,10.77,10.2,11.05,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,8.94,8.25,9.0,8.25,8.54,9.43,9.22,8.6,9.85,9.22,11.0,11.0,9.22,10.77,10.3,10.63,12.04,12.53,13.93,14.14,15.0,16.12,15.81,17.0,18.03,19.1,19.42,-0.0647,1.565,6.1413
2026-02-21T10:37:07.424093,movement_doors_closed_stairs,3.11,1.394,0.709,0.085,3.197,14.526,42.0,6.911,19.498,7.309,16.667,42.0,22.09,21.1,21.38,20.25,21.02,19.72,19.85,19.85,19.42,18.36,18.03,17.46,18.03,17.0,17.46,17.72,16.55,15.26,13.45,13.45,13.04,12.08,11.4,11.18,10.0,9.06,10.2,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,11.31,11.66,10.77,11.18,12.04,12.04,14.32,14.32,13.89,14.21,14.87,15.26,15.23,15.81,16.28,16.03,17.03,16.28,16.76,17.46,18.36,18.6,19.8,19.21,19.42,20.62,20.88,-0.1659,1.7944,6.0521
2026-02-21T10:37:07.940295,movement_doors_closed_stairs,3.115,0.58,0.218,2.691,17.064,14.264,64.0,8.41,18.765,7.142,16.765,64.0,19.7,18.87,18.44,18.6,19.24,16.76,18.11,18.03,18.44,17.09,16.64,15.62,16.4,15.65,15.81,15.13,14.0,13.6,12.53,11.4,11.4,10.3,9.49,9.06,9.06,7.62,6.71,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.15,13.04,13.6,13.04,13.45,15.0,15.65,15.3,15.03,15.3,16.16,17.0,15.62,15.62,16.12,16.76,17.12,17.12,17.72,17.46,17.2,18.38,18.03,17.46,17.72,18.03,19.03,-0.3346,1.7634,6.117
2026-02-21T10:37:08.350770,movement_doors_closed_stairs,3.17,0.454,0.075,0.535,5.6,16.031,51.0,7.743,20.399,8.359,19.186,51.0,22.09,21.59,21.93,20.81,22.67,21.21,20.81,18.79,19.65,19.1,19.1,18.68,18.38,17.89,17.2,17.69,15.26,16.16,14.32,14.04,13.04,14.32,12.65,10.3,10.63,10.63,10.3,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65,13.04,14.14,13.45,14.76,14.87,16.12,15.03,15.52,17.46,16.64,19.1,19.1,18.87,17.46,17.72,18.03,19.0,20.22,20.88,20.62,21.1,20.62,20.52,21.63,21.93,22.14,22.36,-0.0864,2.0003,6.1453
2026-02-21T10:37:08.756987,movement_doors_closed_stairs,3.0,0.317,0.051,-0.44,2.596,16.523,43.0,7.331,20.29,8.831,20.27,43.0,23.09,21.93,21.95,20.62,21.93,20.62,20.59,20.62,19.65,19.24,19.0,19.24,18.97,17.89,17.49,17.8,16.28,16.64,15.23,14.32,14.14,13.0,12.17,11.4,11.18,10.82,10.63,10.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89,15.23,15.3,15.0,15.3,16.76,17.0,17.2,17.69,18.6,18.79,18.97,19.65,20.02,19.03,20.4,19.92,19.7,21.1,21.4,21.93,21.4,21.95,21.93,21.84,22.36,22.02,23.02,-0.0051,1.9553,6.118
2026-02-21T10:37:09.166771,movement_doors_closed_stairs,3.198,0.286,0.049,-0.854,0.855,16.576,36.0,7.333,20.023,8.537,20.96,36.0,23.77,23.71,23.02,23.43,22.63,20.62,21.63,20.59,20.25,18.68,19.24,18.03,18.11,17.46,17.09,16.55,15.81,15.56,14.42,13.89,13.42,12.37,11.05,10.0,10.2,9.49,9.85,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.03,15.3,15.23,15.26,15.62,17.03,17.49,17.89,17.46,18.11,19.03,20.1,21.38,19.31,20.12,20.25,20.62,21.93,21.4,22.47,21.47,21.93,23.09,23.54,23.09,23.02,23.09,24.33,-0.1132,1.7932,6.1199
2026-02-21T10:37:09.573693,movement_doors_closed_stairs,3.182,0.349,0.049,-0.276,2.116,16.432,44.0,7.667,20.953,8.309,19.87,44.0,24.52,23.19,23.02,23.35,22.8,21.93,21.95,21.4,21.21,20.62,20.25,19.7,18.68,18.25,18.0,17.12,16.49,15.65,14.42,13.45,12.81,12.53,11.18,10.44,9.06,9.06,8.25,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.87,14.76,16.28,14.87,15.65,15.81,17.12,17.0,16.28,18.38,17.49,18.44,19.1,18.6,18.36,18.38,18.25,20.1,21.02,21.21,20.88,21.54,21.1,22.2,22.63,22.02,23.32,23.71,-0.1098,1.6812,6.11
2026-02-21T10:37:09.986542,movement_doors_closed_stairs,2.973,0.257,0.051,0.862,7.113,15.998,54.0,7.933,19.768,8.306,19.742,54.0,21.59,20.62,21.1,20.62,20.62,19.42,18.79,18.68,18.03,17.03,19.42,18.38,17.2,17.03,17.03,17.49,15.81,15.13,14.0,13.15,13.6,12.53,11.4,10.63,10.3,9.85,10.2,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17,13.93,14.42,14.87,15.26,15.23,16.28,17.0,16.28,18.38,18.36,19.85,19.1,19.72,18.38,19.65,19.03,20.02,20.4,21.54,20.59,20.81,20.52,21.4,21.47,22.14,21.38,22.02,0.0195,1.9833,6.1305
2026-02-21T10:37:10.496383,movement_doors_closed_stairs,3.018,0.341,0.083,1.961,12.629,13.467,55.0,7.534,17.041,6.872,16.351,55.0,17.46,16.76,18.11,17.0,17.12,15.52,17.0,16.64,17.03,14.87,15.26,15.23,15.3,14.0,13.15,14.56,14.32,12.21,11.31,10.0,9.85,9.22,9.0,7.07,7.62,5.83,6.4,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,13.42,14.56,14.04,13.34,13.93,15.26,15.62,15.81,15.65,14.56,16.03,17.03,15.81,15.65,15.81,16.28,15.81,16.55,16.76,16.12,17.03,17.26,17.72,17.0,17.2,17.69,17.03,-0.1382,1.6609,6.1661
2026-02-21T10:37:10.909473,movement_doors_closed_stairs,2.681,0.49,0.119,-0.011,2.275,15.492,44.0,7.572,18.934,7.49,19.845,44.0,23.35,21.19,21.93,20.25,21.4,19.8,19.21,18.87,18.79,17.09,17.46,18.11,16.03,16.28,15.52,15.65,14.42,14.87,12.21,11.18,11.7,11.18,10.0,9.06,8.25,8.54,8.06,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,13.93,13.15,14.0,13.34,15.23,15.26,16.4,16.28,17.2,16.55,18.68,19.42,19.03,18.03,18.25,19.92,20.62,20.59,21.4,21.93,22.02,22.47,22.36,22.14,22.8,22.2,23.02,0.1173,1.7998,6.1751
