timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-27T11:04:23.543122,baseline_1_1_1,2.801,0.752,0.373,6.028,41.752,10.232,97.0,11.866,13.533,4.024,13.008,97.0,16.12,14.32,13.04,12.04,12.08,11.0,9.49,8.6,9.43,8.54,8.0,8.94,7.81,7.62,8.06,7.07,6.71,6.4,5.83,6.08,5.1,5.39,4.47,3.61,3.16,3.0,2.83,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,8.06,8.94,8.6,9.49,10.0,11.4,10.82,11.4,10.77,11.0,11.7,11.66,12.21,11.7,12.0,12.65,12.04,12.53,13.34,14.14,14.32,14.21,15.26,15.3,15.3,16.12,16.28,0.0177,1.8159,6.1413
2026-02-27T11:04:23.580173,baseline_1_1_1,2.788,0.718,0.342,5.215,34.554,10.108,80.0,9.992,12.808,4.002,13.36,80.0,15.3,13.15,12.08,12.04,11.66,11.4,11.05,11.18,11.18,9.9,9.43,8.54,9.06,8.06,7.62,6.4,6.4,5.39,5.0,4.12,3.61,4.24,3.16,4.12,4.0,3.61,4.24,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,8.06,9.22,8.6,8.6,9.49,11.0,10.2,11.18,10.63,11.66,12.17,13.0,13.6,12.53,13.45,13.89,13.6,14.04,14.32,14.76,15.0,15.0,14.87,15.03,14.56,14.42,15.0,0.2333,1.762,6.1033
2026-02-27T11:04:23.583076,baseline_1_1_1,2.776,0.702,0.341,5.569,37.63,9.83,83.0,10.254,12.396,4.052,12.895,83.0,14.87,13.0,13.15,12.37,12.08,10.63,10.3,9.49,10.0,9.22,8.54,7.81,7.21,7.07,6.0,5.39,5.0,5.0,5.1,5.1,4.47,4.47,4.47,4.47,4.0,4.12,4.47,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,8.06,7.81,8.25,9.06,8.94,10.0,10.82,11.4,12.04,11.4,12.53,12.04,13.42,12.65,13.04,13.6,12.53,14.14,13.42,13.34,13.04,13.6,13.6,13.6,13.93,15.0,14.56,0.1184,1.8763,6.0382
2026-02-27T11:04:23.637774,baseline_1_1_1,2.848,0.704,0.349,5.17,34.063,10.233,79.0,9.865,12.719,4.443,13.386,79.0,16.28,14.04,12.65,13.6,12.04,11.7,10.2,9.06,9.85,9.22,8.06,8.25,7.0,7.62,7.81,6.4,6.32,6.08,6.08,5.83,5.0,5.66,4.47,4.12,5.0,4.47,3.61,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,9.06,9.22,9.43,9.9,10.82,12.37,11.05,11.4,11.18,11.31,12.08,12.37,12.17,11.7,11.4,12.21,13.0,13.04,14.14,14.76,14.21,14.42,14.87,17.03,16.49,17.0,16.28,-0.1369,1.8679,6.0593
2026-02-27T11:04:23.684342,baseline_1_1_1,2.846,0.728,0.358,5.518,37.11,10.044,84.0,10.398,12.612,4.359,13.019,84.0,16.12,13.34,12.53,12.04,11.66,10.2,10.05,8.54,9.22,8.6,8.54,8.0,7.07,7.21,7.81,6.32,6.08,6.0,5.83,5.66,5.0,5.39,4.12,4.12,4.12,3.61,3.61,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,9.22,10.05,9.49,9.9,10.82,10.44,11.05,11.4,11.18,10.63,11.18,11.4,12.17,10.77,11.4,12.53,12.65,13.0,13.6,14.42,14.14,14.76,15.3,16.03,16.16,16.4,15.81,-0.1139,1.8601,6.2208
2026-02-27T11:04:23.684342,baseline_1_1_1,2.842,0.728,0.359,5.817,39.839,10.553,93.0,11.4,13.608,4.497,13.417,93.0,16.03,13.93,14.21,14.42,12.65,12.0,11.18,10.82,10.0,10.2,8.0,7.62,7.07,7.21,6.32,6.08,5.83,6.4,6.71,6.08,5.0,5.39,5.66,5.0,5.1,5.0,4.12,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,8.94,9.22,8.94,9.06,9.49,10.63,9.43,11.4,12.0,12.37,14.42,12.04,11.7,13.0,12.65,13.04,14.14,14.32,14.14,14.32,13.42,13.45,15.23,16.0,15.81,16.64,15.0,0.0148,1.8417,6.2208
2026-02-27T11:04:23.733555,baseline_1_1_1,2.816,0.716,0.332,5.689,38.726,9.799,85.0,10.468,12.599,4.028,12.635,85.0,14.87,11.7,12.04,11.4,11.18,9.9,10.77,10.2,9.06,9.85,8.6,9.22,8.94,8.06,7.07,6.32,5.0,5.0,5.39,5.0,4.12,4.47,3.61,3.16,4.0,3.16,4.24,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,8.94,9.9,7.62,9.0,8.06,9.43,9.22,10.77,11.18,10.2,12.08,10.63,12.53,12.37,12.0,13.6,13.89,13.45,13.04,14.32,14.0,14.32,14.42,14.21,13.93,15.03,13.34,0.1103,1.7437,6.1725
2026-02-27T11:04:23.781065,baseline_1_1_1,2.786,0.715,0.336,5.296,35.193,10.095,79.0,9.809,12.391,4.663,13.087,79.0,16.64,13.6,13.0,12.37,11.66,11.31,10.3,9.49,9.06,8.54,7.21,7.81,7.62,7.0,6.32,6.4,5.66,5.83,5.39,6.0,5.39,5.39,5.0,4.47,5.39,5.0,4.12,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22,8.94,10.2,10.05,10.3,10.0,10.82,10.77,12.04,11.4,11.18,12.04,12.21,12.37,11.0,11.4,12.21,12.73,13.42,13.15,14.04,13.6,14.42,15.0,16.16,16.03,16.28,15.65,-0.0584,1.903,6.1835
2026-02-27T11:04:23.823125,baseline_1_1_1,2.776,0.732,0.338,6.038,41.825,10.0,95.0,11.619,13.083,4.04,12.747,95.0,16.03,13.34,12.21,12.21,11.7,10.0,9.49,8.6,9.43,8.25,8.06,7.62,7.81,6.71,7.07,7.07,5.83,6.4,5.83,6.08,5.1,4.12,3.61,3.61,4.12,4.0,3.61,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.54,9.43,8.6,9.22,10.05,11.18,10.63,11.18,11.18,11.05,12.08,11.4,11.18,11.18,11.18,12.53,12.73,13.42,13.15,13.15,12.53,13.45,13.93,16.03,16.28,16.12,14.87,-0.0339,1.8136,6.1211
2026-02-27T11:04:23.825051,baseline_1_1_1,2.773,0.732,0.337,5.434,36.445,9.67,79.0,9.789,12.242,4.033,12.596,79.0,14.14,12.08,11.31,11.18,10.2,10.05,9.85,9.22,9.43,9.49,9.06,8.25,8.54,8.6,7.81,6.32,6.08,6.08,5.39,5.0,4.24,4.47,4.12,3.0,3.16,4.24,3.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,9.22,8.94,8.49,8.54,9.06,9.22,8.94,9.9,10.3,10.2,11.05,11.4,12.21,11.4,12.08,13.15,13.04,13.93,13.89,14.87,13.89,14.56,15.0,14.87,14.42,14.87,13.93,-0.0735,1.7272,6.0958
