timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T13:00:11.716593,movement_hallway_1_0_0,3.153,2.297,1.699,3.092,17.349,10.942,65.0,9.043,11.747,4.887,15.953,65.0,15.0,15.0,13.6,12.0,10.44,10.0,10.82,10.44,10.05,9.06,8.94,8.6,8.06,7.28,7.0,6.71,6.4,5.0,4.12,3.16,2.83,3.16,3.0,2.24,2.83,2.24,2.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,14.14,13.34,13.04,13.6,14.56,15.0,14.56,13.89,13.6,13.34,15.03,15.81,15.62,16.4,16.16,16.12,16.28,15.65,17.69,17.0,17.26,18.03,18.03,16.64,17.03,15.81,16.0,0.0945,1.8398,6.1725
2026-02-28T13:00:11.749185,movement_hallway_1_0_0,3.148,2.35,1.721,0.077,-0.416,20.567,62.0,13.431,18.639,9.764,32.721,62.0,30.53,28.44,26.17,24.6,23.35,20.59,18.25,17.26,15.65,14.87,14.32,13.34,12.17,11.66,10.63,10.77,10.05,9.49,9.22,8.06,8.25,7.0,5.39,5.0,3.61,3.0,3.16,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,27.29,27.17,27.89,27.2,30.23,29.83,31.14,30.41,31.83,32.2,32.39,33.54,33.62,32.56,32.7,32.14,31.78,33.29,33.42,33.24,33.02,33.84,34.06,33.84,33.84,33.02,34.18,0.0214,1.7658,6.1532
2026-02-28T13:00:11.750186,movement_hallway_1_0_0,3.154,2.35,1.737,-0.129,-0.924,20.002,53.0,12.517,18.302,9.481,31.669,53.0,28.44,27.73,26.87,22.83,22.36,21.21,21.02,19.21,18.03,15.52,15.03,12.17,13.04,12.04,11.7,11.05,10.2,8.6,7.21,7.07,7.0,6.4,6.4,4.47,5.0,5.1,3.61,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08,25.46,26.0,25.02,27.51,27.8,30.61,30.08,29.07,29.73,29.83,30.53,32.02,33.02,33.24,33.29,32.65,31.38,31.26,32.98,32.25,33.94,32.65,33.54,32.25,30.87,31.11,30.41,-0.0327,1.8444,6.2529
2026-02-28T13:00:11.820497,movement_hallway_1_0_0,3.148,2.397,1.78,2.424,12.329,10.428,59.0,8.746,10.356,4.636,16.024,59.0,15.0,13.6,11.4,12.04,10.44,9.43,9.22,8.06,7.07,7.28,7.21,6.4,6.71,6.08,5.1,5.83,5.0,4.47,4.12,4.0,3.0,2.83,2.24,1.41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,14.04,14.56,14.42,14.21,15.23,15.03,14.56,15.81,15.62,15.23,15.13,15.3,14.76,15.62,15.23,15.13,16.28,16.12,17.03,17.49,16.28,17.03,17.09,17.8,17.2,16.76,16.0,-0.1901,1.8258,6.1531
2026-02-28T13:00:11.856264,movement_hallway_1_0_0,3.13,2.439,1.814,0.314,0.22,19.51,65.0,13.231,17.082,9.389,31.487,65.0,27.29,26.4,23.35,20.12,19.24,18.25,16.12,15.56,14.32,13.04,12.37,11.18,10.63,11.18,11.05,9.49,8.94,8.6,8.54,8.06,7.07,5.83,5.66,4.12,4.12,4.12,2.83,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55,26.17,25.96,26.4,28.65,28.44,30.41,30.89,30.61,31.62,31.0,32.89,31.4,31.91,32.02,31.06,30.87,31.14,30.89,33.38,32.02,31.91,32.02,32.89,32.0,31.62,30.48,29.68,0.1023,1.7813,6.118
2026-02-28T13:00:11.858366,movement_hallway_1_0_0,3.114,2.392,1.772,0.197,-0.045,19.784,62.0,12.812,17.505,10.163,31.142,62.0,28.02,26.4,24.04,22.02,19.7,19.1,18.36,16.49,16.12,15.65,12.81,11.66,11.18,10.2,10.0,9.43,9.49,9.06,8.06,7.81,7.28,7.07,6.71,6.4,5.83,5.1,5.1,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.59,26.93,28.02,26.4,27.66,29.73,30.02,28.64,29.73,29.73,30.0,31.02,30.48,31.76,32.39,31.58,31.38,32.65,31.62,33.02,32.7,33.24,32.2,32.14,32.02,30.0,30.53,28.28,-0.2719,1.7901,6.0828
2026-02-28T13:00:11.919181,movement_hallway_1_0_0,3.114,2.308,1.71,-0.006,-0.466,20.198,57.0,12.357,18.717,9.909,31.434,57.0,30.08,27.29,25.08,23.43,22.36,20.4,19.1,17.09,16.4,16.64,14.87,14.04,12.65,12.81,11.18,12.17,10.44,10.82,10.0,9.22,8.06,8.06,7.07,6.71,6.08,5.0,5.39,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,25.55,25.5,25.96,25.81,28.84,27.46,29.15,30.02,29.73,30.08,30.02,31.32,32.45,30.81,32.57,32.02,32.57,32.56,31.62,33.96,32.39,32.2,31.89,33.11,31.14,32.28,32.2,-0.1422,1.763,6.1255
2026-02-28T13:00:11.959861,movement_hallway_1_0_0,3.125,2.362,1.726,2.237,11.252,10.455,54.0,8.001,10.678,4.638,15.795,54.0,15.81,13.6,13.93,12.0,11.4,9.43,9.22,8.94,8.25,8.0,7.21,7.07,6.71,6.0,6.32,5.83,5.83,5.1,5.1,4.47,4.24,4.47,4.12,3.0,2.24,1.41,1.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66,12.21,12.37,13.04,12.08,14.14,14.32,15.13,15.3,15.26,15.62,16.16,16.03,16.49,15.26,15.62,15.65,15.13,15.3,16.64,15.62,16.16,16.03,16.76,15.81,16.4,16.76,16.03,-0.0753,1.7843,6.0882
2026-02-28T13:00:11.964074,movement_hallway_1_0_0,3.138,2.362,1.72,0.242,0.465,20.532,66.0,13.08,19.864,9.338,31.856,66.0,31.14,29.53,26.87,24.17,23.19,20.62,20.25,18.03,18.03,17.12,15.81,14.42,13.04,12.37,13.6,12.21,11.66,10.44,10.05,8.6,8.06,8.06,6.08,5.83,5.66,4.12,3.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,25.24,24.33,23.54,26.4,27.46,28.64,29.43,29.53,29.21,28.46,31.06,33.54,33.24,32.2,33.14,32.56,32.25,30.61,32.57,33.06,34.01,33.94,34.44,33.24,32.98,30.81,31.91,-0.1572,1.6826,5.9273
2026-02-28T13:00:12.029502,movement_hallway_1_0_0,3.142,2.278,1.699,0.104,-0.186,19.973,61.0,12.83,18.443,9.518,31.414,61.0,29.97,26.17,25.5,23.71,21.93,21.02,19.24,17.12,17.09,17.03,15.0,13.6,11.05,12.08,10.63,10.77,9.06,9.22,8.06,8.06,7.07,7.0,6.71,5.66,4.47,3.0,4.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,26.68,25.32,25.55,27.02,28.46,29.02,31.02,29.83,30.53,30.59,31.26,31.76,33.97,32.76,32.02,31.14,31.38,31.24,32.76,32.76,32.14,30.87,31.11,31.38,30.59,31.58,31.38,-0.0228,1.8142,6.1549
