timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T12:55:21.367592,movement_stairs_1_0_0,2.011,0.245,0.212,-0.427,-1.308,21.143,35.511,12.316,18.761,10.554,33.525,34.0,30.68,27.02,25.3,23.6,22.2,19.92,20.02,19.7,19.21,17.8,16.49,16.03,15.23,14.87,13.89,14.14,13.34,12.08,9.9,8.54,7.07,8.06,7.21,6.08,5.1,5.0,5.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.59,28.23,28.02,28.46,29.83,30.89,31.4,33.38,34.44,32.56,31.95,33.0,32.89,33.42,33.62,32.76,33.24,33.11,33.94,34.89,34.23,35.51,35.36,35.38,33.54,34.13,33.73,31.06,0.1326,1.8697,6.1851
2026-02-28T12:55:21.368584,movement_stairs_1_0_0,2.011,0.245,0.212,-0.401,-1.349,21.015,37.0,12.403,18.563,10.509,33.384,37.0,31.32,27.02,24.7,22.8,22.36,20.4,20.4,18.36,18.38,17.0,16.28,15.52,15.65,13.45,14.32,14.04,11.7,10.63,9.43,9.06,8.25,7.07,6.32,5.1,5.39,5.0,5.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,28.02,27.89,29.27,30.02,30.48,31.95,33.0,31.95,32.56,32.65,33.24,32.98,33.84,33.02,33.24,35.06,33.24,34.06,34.99,33.54,34.37,34.0,33.97,34.44,34.13,32.02,32.2,0.1663,1.8954,6.1461
2026-02-28T12:55:21.648407,movement_stairs_1_0_0,2.064,0.245,0.221,-0.33,-1.306,20.84,42.0,12.488,18.459,10.114,33.352,42.0,29.68,26.48,24.33,23.77,20.52,20.59,21.02,17.09,16.64,16.28,14.32,16.03,13.93,12.81,13.93,14.0,12.08,11.31,10.77,10.05,8.54,8.49,6.71,5.1,4.47,5.0,3.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.29,27.2,27.02,26.93,29.07,29.41,32.02,32.25,32.76,32.98,33.62,34.41,34.48,35.23,34.01,31.83,34.44,35.06,33.73,36.62,32.2,33.96,33.54,32.7,33.24,32.65,30.07,31.95,0.2065,1.7031,6.0382
2026-02-28T12:55:21.680861,movement_stairs_1_0_0,2.064,0.245,0.221,-0.423,-1.295,21.288,36.401,12.259,18.637,10.931,33.704,32.0,29.21,27.46,25.96,24.0,23.09,21.63,21.4,20.12,19.1,18.44,16.12,14.87,14.76,14.32,13.34,12.21,12.04,11.4,10.05,9.85,8.6,9.22,8.0,7.28,7.07,5.83,5.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.46,28.84,28.86,29.15,28.65,30.48,31.38,32.06,32.28,33.84,33.6,35.17,34.01,35.11,34.41,35.23,36.4,34.01,34.48,34.67,34.21,35.11,34.06,34.48,33.02,31.62,31.32,31.0,-0.0144,1.8265,6.2538
2026-02-28T12:55:21.680861,movement_stairs_1_0_0,2.074,0.245,0.221,-0.398,-1.248,21.452,43.0,12.45,19.381,10.854,33.546,43.0,30.41,26.4,26.17,24.52,23.85,22.67,21.02,20.1,19.42,18.87,17.03,15.23,14.0,13.6,13.45,12.08,12.04,12.65,10.63,9.85,9.06,9.49,7.81,7.21,7.07,5.1,5.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.15,27.59,29.15,29.02,30.68,32.02,31.76,33.38,32.76,33.29,33.84,33.96,35.13,34.54,34.71,34.48,33.73,34.37,34.89,34.66,34.01,33.14,33.24,33.02,33.84,32.02,31.26,-0.1296,1.7657,6.087
2026-02-28T12:55:21.734462,movement_stairs_1_0_0,2.114,0.276,0.229,-0.393,-1.347,21.095,35.355,12.476,18.48,10.419,33.78,35.0,29.97,28.28,26.31,24.6,21.93,20.59,19.24,19.24,17.09,16.28,14.76,14.56,14.14,13.42,12.73,13.0,13.04,11.7,11.4,10.82,9.22,8.25,8.06,6.4,5.1,5.0,3.16,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63,27.66,27.46,29.15,29.21,30.68,32.0,32.57,32.8,33.29,32.98,34.13,35.34,33.97,35.36,34.53,34.23,34.01,33.97,34.0,34.37,34.37,34.89,34.66,32.65,33.38,32.56,33.12,0.1336,1.768,6.0978
2026-02-28T12:55:21.783265,movement_stairs_1_0_0,2.052,0.266,0.215,-0.335,-1.267,21.252,45.0,12.644,18.955,10.572,33.64,45.0,28.86,27.2,25.24,23.54,22.09,21.02,20.52,18.38,19.1,17.46,17.2,17.03,14.87,14.04,13.93,12.73,12.08,11.0,8.94,7.81,8.06,7.28,5.66,6.71,6.0,6.08,5.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,27.29,28.07,29.12,29.07,31.38,32.39,32.56,31.91,32.45,31.78,33.54,33.62,34.21,34.21,33.06,33.62,33.97,34.89,35.23,34.21,35.51,35.0,35.44,34.06,33.62,32.53,32.31,0.0633,1.9365,6.118
2026-02-28T12:55:21.784305,movement_stairs_1_0_0,2.059,0.251,0.215,-0.422,-1.307,20.934,35.355,12.135,18.574,10.479,33.167,34.0,30.61,26.93,25.08,23.54,22.47,21.26,21.02,19.24,19.1,18.38,16.4,14.76,14.32,14.14,12.53,12.81,11.7,12.0,9.85,9.9,8.54,8.0,7.28,7.21,5.83,5.39,5.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,27.29,27.29,27.89,28.6,30.23,31.05,33.06,32.2,32.53,32.65,33.24,35.36,35.36,33.24,34.44,33.38,33.24,33.54,33.94,34.89,33.38,33.54,33.12,32.56,31.78,32.14,31.05,-0.0261,1.8136,6.1413
2026-02-28T12:55:21.884436,movement_stairs_1_0_0,1.942,0.251,0.197,-0.438,-1.288,21.074,35.0,12.226,18.86,10.391,33.386,35.0,29.21,26.63,24.74,24.19,22.83,20.52,19.31,19.03,18.68,17.8,17.0,16.28,15.13,15.65,14.87,13.6,13.04,12.08,10.63,9.85,8.0,6.71,7.07,6.08,5.1,5.83,4.47,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,27.89,27.29,27.78,30.23,30.59,32.39,32.76,33.42,33.24,33.06,34.44,33.3,33.24,33.02,33.24,33.3,33.12,32.39,34.71,33.29,34.21,34.21,34.06,34.01,33.94,34.01,31.14,0.1648,1.84,6.0391
2026-02-28T12:55:21.897816,movement_stairs_1_0_0,1.969,0.276,0.199,-0.267,-1.169,20.764,48.0,12.458,18.979,9.983,32.758,48.0,31.14,27.89,27.46,24.21,23.77,22.09,20.62,18.03,17.03,16.55,15.03,14.56,13.04,12.21,13.15,12.17,11.66,11.4,9.49,9.06,8.94,7.81,7.62,6.08,6.08,5.0,5.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,26.57,25.02,26.4,26.91,28.79,29.02,31.32,31.24,31.38,31.58,32.39,33.54,33.94,33.54,34.37,34.71,33.12,33.3,33.24,34.06,33.84,32.8,34.13,32.98,32.14,32.2,31.83,-0.1345,1.7398,6.0761
