timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T13:39:44.703895,baseline_1_0_1,2.797,0.439,0.242,1.723,7.768,21.567,101.0,15.747,20.578,10.353,33.215,101.0,26.93,27.29,24.52,22.67,21.0,19.1,18.11,17.49,16.49,15.65,14.76,14.32,14.21,13.04,12.04,11.05,11.4,11.0,10.0,10.05,9.43,7.28,8.06,6.32,5.83,5.1,3.61,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,26.57,26.4,26.57,29.97,31.32,33.84,33.54,33.42,32.06,31.83,34.06,34.66,35.06,35.81,35.17,34.44,32.7,31.62,33.62,32.76,34.21,34.06,34.71,33.14,31.06,30.81,28.18,0.1036,1.8618,6.2244
2026-02-28T13:39:44.704891,baseline_1_0_1,2.797,0.439,0.243,3.911,23.42,14.901,102.0,13.615,15.639,6.983,21.756,102.0,19.72,19.24,17.03,15.0,13.6,13.34,12.21,12.65,10.77,10.82,12.17,9.22,9.06,7.07,7.0,8.06,8.25,8.06,7.07,6.08,5.39,5.39,3.16,3.0,4.12,3.61,2.83,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44,18.25,19.42,18.44,19.72,20.88,21.02,20.62,20.25,21.47,21.59,23.85,24.02,22.67,22.02,22.2,21.59,21.47,22.14,23.41,22.47,21.1,23.35,22.02,20.52,21.38,18.6,20.88,0.0824,1.8696,6.0494
2026-02-28T13:39:44.741983,baseline_1_0_1,2.776,0.413,0.243,2.261,12.689,16.405,79.0,11.253,19.821,14.636,14.833,79.0,11.18,10.77,12.37,12.81,15.3,15.81,15.62,17.46,16.76,15.62,16.28,18.38,18.6,17.0,20.12,19.72,21.02,20.81,21.19,20.4,20.0,22.56,21.19,20.25,21.1,21.21,21.84,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,23.6,22.0,23.85,22.85,22.56,24.08,25.08,25.08,25.55,24.19,24.21,22.36,20.62,20.0,19.03,16.12,15.23,13.15,13.45,8.25,8.94,4.47,2.24,2.24,1.0,5.39,5.66,0.0993,1.8109,6.1305
2026-02-28T13:39:44.798914,baseline_1_0_1,2.767,0.428,0.246,1.507,8.193,16.773,70.0,10.527,20.126,14.939,15.324,70.0,11.66,11.05,13.04,14.56,15.3,17.69,16.49,15.52,15.81,15.13,15.81,18.87,20.02,18.36,19.7,21.1,23.85,21.84,23.41,23.43,21.38,23.32,21.54,20.62,22.2,21.02,21.63,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04,23.32,22.36,24.84,23.09,22.8,24.41,26.02,25.81,24.7,25.71,21.93,23.0,21.47,20.12,19.42,15.56,16.03,13.6,14.32,9.06,7.81,6.08,2.24,3.0,3.16,6.4,7.28,-0.0364,1.8207,6.2447
2026-02-28T13:39:44.850647,baseline_1_0_1,2.767,0.428,0.246,1.715,9.546,16.239,70.0,10.297,19.438,14.585,14.765,70.0,10.3,12.17,12.53,14.14,15.03,14.87,16.76,16.03,14.87,16.49,16.49,17.8,19.1,17.89,19.7,21.02,20.25,21.02,21.21,20.52,21.38,22.85,21.1,22.36,22.02,20.4,19.72,21.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.19,24.84,20.02,22.83,21.47,23.09,21.93,25.18,22.85,24.6,24.19,22.8,22.2,18.97,17.49,20.1,17.2,14.56,14.56,13.6,10.2,7.81,6.0,2.24,2.24,3.16,5.66,7.28,0.0836,1.8177,6.2166
2026-02-28T13:39:44.855193,baseline_1_0_1,2.774,0.413,0.243,1.654,9.089,16.335,70.0,10.388,19.363,14.856,14.856,70.0,10.77,12.0,13.6,13.15,15.81,14.76,15.03,16.12,17.0,17.0,17.49,17.46,19.1,17.03,18.68,18.97,19.21,20.02,22.2,21.19,21.38,23.35,21.1,21.95,20.25,21.19,21.4,21.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09,24.04,22.56,24.6,23.02,24.02,23.35,25.32,24.6,25.08,24.19,24.04,21.21,21.19,19.42,17.12,15.62,14.32,13.0,11.66,10.0,9.22,6.0,1.0,2.83,1.41,7.21,9.06,-0.075,1.9051,6.2356
2026-02-28T13:39:44.899811,baseline_1_0_1,2.718,0.395,0.206,2.057,11.516,16.836,77.0,11.059,20.478,14.939,15.17,77.0,13.04,12.21,12.37,15.0,14.87,16.76,15.56,19.65,15.3,18.36,17.0,17.0,19.24,16.03,21.02,23.32,20.02,21.63,23.09,21.59,23.43,23.77,23.32,20.62,20.4,19.85,22.2,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.19,23.35,21.38,22.47,23.02,23.02,23.32,28.16,23.77,25.81,24.19,23.32,22.8,20.22,19.21,17.12,16.16,16.12,15.03,12.81,10.44,8.06,7.07,1.41,3.0,2.24,7.07,6.4,-0.0561,1.818,6.2332
2026-02-28T13:39:44.907544,baseline_1_0_1,2.669,0.41,0.215,2.221,12.446,16.86,80.0,11.401,20.249,15.338,15.077,80.0,11.18,12.21,14.0,14.42,14.42,14.04,14.21,14.76,16.28,16.28,17.46,19.1,20.81,19.7,21.38,21.1,21.54,20.62,20.52,21.21,21.54,23.32,23.02,22.2,22.47,20.62,21.93,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17,25.08,23.35,24.84,24.7,23.77,24.08,25.02,23.71,24.6,24.19,23.35,23.09,21.84,21.26,20.1,16.16,15.26,13.0,12.04,9.22,8.94,6.71,4.12,1.0,1.41,7.21,5.39,0.0881,1.9305,6.1783
2026-02-28T13:39:44.949484,baseline_1_0_1,2.669,0.41,0.214,1.192,6.482,15.836,63.0,9.798,18.747,14.432,14.397,63.0,10.2,9.22,13.04,13.6,16.16,14.32,16.28,15.23,17.12,14.87,16.28,16.55,18.79,18.11,17.2,18.79,20.62,21.21,22.02,21.1,21.54,22.56,21.26,19.1,21.4,20.4,20.25,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,24.17,19.65,24.08,22.36,21.95,22.47,25.3,22.8,24.02,24.41,21.54,21.54,19.85,19.03,18.44,16.16,13.93,12.81,13.34,10.0,8.0,4.12,2.24,2.83,1.0,7.07,5.83,-0.2711,1.8442,6.2415
2026-02-28T13:39:44.952519,baseline_1_0_1,2.677,0.395,0.211,3.384,19.404,14.744,91.0,12.44,15.342,6.889,21.671,91.0,19.7,17.72,17.0,15.13,14.21,14.04,12.81,12.0,11.31,12.04,12.04,10.05,10.3,8.25,7.21,7.28,8.06,8.25,7.07,6.71,6.32,6.08,3.61,3.16,4.24,4.0,2.24,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.69,17.0,17.69,18.11,20.0,20.4,21.93,22.02,20.52,21.02,21.26,23.35,23.35,23.09,22.63,23.09,22.02,21.1,21.4,22.2,22.2,21.84,22.83,21.19,21.02,21.54,18.79,18.38,0.0259,1.8657,6.1964
