timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T12:24:17.951887,movement_hallway_0_0_1,3.125,1.247,0.548,3.478,23.519,27.144,128.0,15.857,35.981,17.013,28.378,128.0,32.02,30.23,31.06,30.48,30.41,30.41,29.55,30.08,30.81,32.06,31.14,32.06,32.02,32.76,34.0,34.18,32.7,32.2,30.36,29.07,28.46,28.18,26.93,24.7,23.35,20.62,20.02,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12,28.18,26.25,26.83,27.2,28.84,29.43,29.73,28.07,26.25,25.18,26.08,26.25,27.31,25.5,26.31,26.17,27.17,27.2,26.93,28.23,28.18,28.64,30.61,32.0,32.8,32.76,33.54,0.0669,1.8285,6.1305
2026-02-28T12:24:17.979019,movement_hallway_0_0_1,3.173,1.267,0.571,3.418,23.34,27.123,126.0,15.582,35.07,16.921,29.276,126.0,32.76,32.39,31.11,29.43,28.3,28.46,28.23,29.53,31.4,30.41,30.02,30.81,30.59,30.53,31.62,30.87,32.7,30.68,31.76,28.86,29.15,26.68,25.24,23.35,22.2,22.2,20.52,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,27.89,27.46,27.46,27.8,28.07,28.28,28.07,27.02,27.29,28.3,29.41,28.79,28.65,27.66,27.66,27.0,27.8,28.86,30.02,30.46,29.83,30.61,31.02,31.89,31.26,31.91,32.28,0.0116,1.8647,6.1477
2026-02-28T12:24:17.983398,movement_hallway_0_0_1,3.155,1.228,0.568,6.365,45.504,14.925,123.0,14.488,21.602,8.832,14.367,123.0,17.09,16.76,15.81,16.0,15.0,15.52,14.76,14.32,17.09,17.49,16.28,17.03,18.0,17.8,17.26,16.4,17.26,16.64,17.46,16.64,17.09,15.23,13.0,12.08,11.7,11.18,10.77,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,14.32,13.93,14.87,13.89,14.14,14.21,13.04,14.14,13.0,14.21,14.14,14.42,14.87,13.34,13.6,12.04,13.45,13.04,14.42,15.52,14.56,15.81,15.03,16.28,15.03,15.62,16.28,0.0581,1.8838,6.0978
2026-02-28T12:24:18.050438,movement_hallway_0_0_1,3.126,1.092,0.564,3.307,22.433,27.568,127.0,15.815,36.014,16.705,29.874,127.0,33.24,30.89,30.81,30.48,31.06,30.0,30.08,30.46,31.3,31.78,31.06,32.25,31.24,33.0,34.06,33.14,32.8,31.4,30.81,29.43,28.02,28.64,27.46,24.74,21.95,20.88,18.87,18.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.02,26.87,27.0,26.17,28.02,25.5,29.15,30.23,27.2,27.31,28.46,27.86,27.29,28.86,28.02,28.02,29.07,29.27,30.02,30.68,29.15,29.15,31.4,31.24,33.02,34.83,33.38,33.62,0.2195,1.8207,6.2475
2026-02-28T12:24:18.078186,movement_hallway_0_0_1,3.107,1.14,0.578,-1.906,2.568,13.926,20.025,5.242,17.446,8.833,15.428,20.02,18.03,16.76,17.03,16.49,17.0,16.28,17.0,17.46,18.0,17.46,17.49,18.38,18.36,18.25,18.11,17.89,17.69,17.0,16.12,15.52,15.81,14.42,13.34,13.04,12.08,12.04,10.77,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.87,14.14,13.42,14.14,13.34,13.04,14.21,13.0,14.0,13.6,14.42,14.21,14.32,15.3,15.03,14.87,14.42,14.87,15.65,16.28,16.03,15.81,16.64,17.69,17.0,17.46,17.12,17.46,0.1695,1.8541,6.2332
2026-02-28T12:24:18.081532,movement_hallway_0_0_1,3.107,1.14,0.578,3.403,22.947,27.166,127.0,15.788,36.899,17.2,27.389,127.0,33.24,31.05,32.2,32.0,30.61,31.05,30.46,30.89,32.02,32.8,32.02,33.3,34.37,34.13,33.53,33.11,33.62,33.24,32.25,32.02,31.06,28.44,27.02,24.08,22.8,21.02,21.26,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,27.02,28.0,27.59,28.07,27.8,26.68,26.42,26.93,26.0,25.55,27.46,27.59,27.07,25.24,25.0,24.35,25.55,26.17,27.59,28.16,27.78,28.64,29.12,29.83,29.02,31.14,31.26,0.1186,1.8872,6.2519
2026-02-28T12:24:18.156085,movement_hallway_0_0_1,3.09,1.14,0.577,3.318,22.332,27.001,125.0,15.599,36.719,16.77,27.49,125.0,34.06,31.62,31.62,30.36,31.4,30.02,30.61,30.59,31.76,32.2,32.98,33.02,34.01,34.71,33.38,33.84,32.98,32.65,32.31,31.95,29.53,28.86,26.63,24.33,22.2,21.1,19.85,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46,28.0,27.02,26.31,26.93,25.96,26.0,26.83,26.68,25.0,26.02,28.32,27.29,26.83,25.08,25.5,24.84,25.02,26.63,27.89,27.51,28.3,30.0,29.83,29.12,29.97,31.3,30.81,0.0817,1.8335,6.2447
2026-02-28T12:24:18.174247,movement_hallway_0_0_1,3.074,1.181,0.591,6.023,42.558,15.697,118.0,13.936,22.145,8.95,15.983,118.0,17.0,17.26,17.8,18.03,17.2,17.72,17.46,17.0,16.49,16.4,17.12,17.69,18.03,18.44,18.44,17.49,18.03,16.55,16.76,16.12,15.81,15.65,15.23,13.6,12.53,10.77,10.3,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,14.14,13.04,13.15,15.0,15.03,15.62,15.3,14.76,13.6,13.42,14.87,14.87,15.26,16.28,15.56,16.12,15.26,14.87,15.23,15.65,16.49,17.8,18.03,17.8,18.44,18.36,18.03,-0.0084,1.7983,6.1722
2026-02-28T12:24:18.176339,movement_hallway_0_0_1,3.074,1.181,0.59,2.068,15.118,29.28,114.0,14.87,38.554,18.19,31.012,114.0,35.36,35.51,34.79,33.84,32.45,34.37,34.71,34.01,35.81,35.69,35.36,34.93,34.18,34.89,35.9,34.67,36.5,34.21,35.06,33.42,31.02,30.41,28.0,27.59,25.02,23.35,23.02,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.08,29.15,28.86,28.18,29.73,27.73,29.97,29.15,28.18,29.83,30.61,32.02,29.0,30.07,29.41,29.12,28.64,30.41,29.43,33.3,30.02,31.62,31.32,32.7,34.01,34.21,34.13,35.13,-0.1391,1.8187,6.2138
2026-02-28T12:24:18.257057,movement_hallway_0_0_1,3.044,1.248,0.603,5.839,41.077,15.497,110.0,12.984,21.806,9.217,15.469,110.0,18.25,17.0,17.46,16.49,16.4,16.03,16.97,17.12,18.36,17.46,17.72,17.2,17.12,17.03,18.03,17.69,19.1,18.03,17.46,17.0,15.81,14.32,13.93,13.42,13.0,12.65,11.66,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52,15.81,14.14,14.21,13.04,14.87,15.0,15.0,15.3,15.26,15.23,14.56,14.42,14.14,13.45,14.0,14.21,14.56,16.16,15.81,16.0,16.28,16.28,16.12,16.16,16.76,17.49,18.11,-0.0378,1.8244,6.0677
