timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,sc_amp_44,sc_amp_45,sc_amp_46,sc_amp_47,sc_amp_48,sc_amp_49,sc_amp_50,sc_amp_51,sc_amp_52,sc_amp_53,sc_amp_54,sc_amp_55,sc_amp_56,sc_amp_57,sc_amp_58,sc_amp_59,sc_amp_60,sc_amp_61,sc_amp_62,sc_amp_63,phase_mean,phase_std,phase_range
2026-02-28T12:39:40.273840,movement_stairs_0_1_0,3.171,2.439,2.02,-0.021,-1.557,12.897,25.0,8.384,8.331,8.495,21.458,25.0,14.56,12.17,12.08,10.0,9.43,9.49,7.0,6.71,6.4,7.07,6.32,5.1,4.47,4.12,5.0,5.39,5.83,6.32,6.08,6.4,6.71,7.07,8.06,6.71,5.66,6.32,6.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.25,20.62,20.59,21.38,22.2,23.71,23.35,23.26,23.35,23.35,23.71,23.35,24.19,22.56,23.19,22.47,21.4,21.63,21.84,21.0,20.25,20.0,19.42,18.68,18.03,17.09,16.28,-0.1272,1.7449,5.9458
2026-02-28T12:39:40.319335,movement_stairs_0_1_0,3.177,2.595,2.071,-0.911,-0.022,22.842,35.171,10.391,22.883,12.648,32.532,21.0,33.6,32.02,30.15,27.73,26.87,24.17,24.02,22.8,21.63,20.81,20.62,21.02,20.12,19.85,20.25,21.0,19.31,19.1,17.46,17.0,18.03,15.62,14.76,14.14,12.65,12.81,12.53,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.19,25.0,24.21,25.5,26.02,28.16,29.21,29.68,29.61,30.59,31.38,32.02,32.28,33.02,32.31,32.65,32.25,31.58,31.58,32.76,33.42,33.84,34.01,34.93,34.71,34.48,34.23,35.17,0.1769,1.7065,6.0858
2026-02-28T12:39:40.321335,movement_stairs_0_1_0,3.185,2.595,2.074,-0.012,-0.214,25.889,74.0,15.527,24.728,12.596,39.685,74.0,37.22,34.06,33.02,29.21,28.16,25.24,24.52,23.32,23.09,22.85,21.47,19.92,18.87,17.46,16.64,15.52,14.76,14.56,13.04,12.37,10.82,9.49,7.62,7.62,7.62,7.62,6.71,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.62,31.78,31.95,34.01,35.11,36.24,37.11,38.59,37.85,39.12,39.81,39.41,41.3,42.52,40.0,40.36,39.2,38.6,39.81,41.34,40.52,40.25,40.31,40.5,39.82,40.26,37.74,38.64,-0.1393,1.7968,5.9006
2026-02-28T12:39:40.392018,movement_stairs_0_1_0,3.122,2.595,2.006,3.032,17.551,20.83,108.0,14.573,23.623,9.978,28.524,108.0,29.97,28.79,26.57,23.71,24.04,21.95,20.88,19.72,20.22,19.85,18.0,16.97,16.0,14.87,16.0,14.87,15.03,14.87,13.04,12.73,12.0,10.0,10.05,10.0,9.22,10.0,9.06,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.42,21.38,20.81,21.38,23.85,23.77,24.6,24.7,24.17,24.7,26.0,27.73,28.16,28.3,27.46,28.43,28.16,28.32,29.0,29.7,31.06,30.61,31.4,31.62,31.05,31.76,30.08,30.53,-0.0555,1.8401,6.2166
2026-02-28T12:39:40.430827,movement_stairs_0_1_0,3.051,2.595,2.051,3.236,19.291,21.539,114.0,15.136,25.28,10.466,28.538,114.0,30.27,29.41,27.66,26.08,25.3,24.19,23.41,23.41,21.95,20.22,19.21,19.03,17.69,17.03,16.97,17.03,15.62,15.03,14.21,13.15,11.4,11.05,10.0,10.2,9.43,9.49,8.94,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.02,22.56,23.32,23.77,23.71,24.35,24.17,24.7,24.17,25.5,26.25,27.46,28.07,26.91,27.02,26.91,27.17,28.02,30.08,30.46,30.87,30.36,30.53,31.78,30.81,32.06,32.56,32.0,0.1465,1.8175,5.9735
2026-02-28T12:39:40.432994,movement_stairs_0_1_0,3.051,2.513,2.046,3.156,18.295,20.578,113.0,15.294,22.393,10.134,28.813,113.0,27.8,25.5,23.32,23.54,20.25,20.88,20.59,18.38,19.31,17.89,16.16,14.76,15.23,15.65,14.56,14.76,14.56,13.04,10.77,10.3,9.85,9.49,9.49,8.54,8.06,6.71,6.71,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,24.17,24.7,24.17,25.3,26.83,27.86,26.4,26.93,27.73,27.86,29.07,29.41,28.65,28.16,28.3,28.64,30.23,29.43,29.83,30.07,30.41,30.0,28.28,30.02,28.28,30.02,28.32,0.0355,1.8049,6.0791
2026-02-28T12:39:40.498090,movement_stairs_0_1_0,3.013,2.473,1.935,2.468,12.469,17.963,100.0,14.732,17.05,8.546,27.823,100.0,23.09,20.25,19.42,18.36,18.03,16.16,15.26,14.32,12.81,13.0,10.63,10.0,10.0,10.2,9.43,9.49,8.25,7.21,6.32,5.83,5.1,4.47,5.1,5.0,5.1,3.16,3.16,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41,24.6,24.04,23.71,24.74,25.06,25.71,27.46,28.28,28.43,28.02,28.32,29.02,27.59,27.07,28.43,29.43,28.65,28.46,28.64,28.64,27.2,27.78,27.46,27.2,28.28,27.02,25.02,-0.1065,1.8493,6.1413
2026-02-28T12:39:41.189932,movement_stairs_0_1_0,3.013,2.399,1.875,2.454,12.474,18.879,105.0,15.465,18.207,9.019,28.933,105.0,24.17,24.17,21.19,19.24,18.97,17.49,17.26,17.03,15.03,13.45,12.0,10.82,9.06,10.0,9.22,9.43,9.49,7.62,6.32,5.39,5.39,4.24,4.47,5.1,4.47,4.12,4.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.63,25.94,25.63,25.5,26.93,27.31,27.31,27.31,28.23,29.41,29.53,28.86,29.68,29.43,29.21,28.16,30.48,29.02,30.48,31.14,30.0,29.43,29.15,29.61,26.93,27.66,28.18,-0.0162,1.8824,6.2487
2026-02-28T12:39:41.189932,movement_stairs_0_1_0,3.013,2.399,1.863,-0.61,-0.971,20.291,32.202,10.667,19.145,10.552,30.679,11.0,29.53,28.43,26.57,25.0,23.77,21.93,21.93,21.02,20.25,19.21,18.36,17.12,17.46,15.81,16.64,15.3,14.32,14.87,12.53,11.0,9.85,9.22,8.25,8.25,7.81,7.62,8.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,24.74,25.32,25.55,27.2,28.64,30.27,30.53,30.61,29.73,31.06,30.46,30.41,30.87,29.15,28.86,29.41,30.23,29.12,31.14,30.87,31.83,31.3,32.14,32.02,32.2,31.91,30.81,0.2193,1.8646,6.1506
2026-02-28T12:39:41.204726,movement_stairs_0_1_0,3.023,2.399,1.877,2.388,12.971,23.72,117.0,16.658,25.331,11.648,33.707,117.0,29.83,30.27,28.32,28.0,26.25,25.18,23.02,21.38,20.59,19.92,19.72,18.97,18.79,17.46,17.09,16.55,15.23,13.0,13.0,12.37,11.66,10.44,8.94,8.54,7.21,6.0,7.07,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.83,29.15,29.21,28.28,30.0,31.26,33.02,33.24,34.21,34.13,33.3,34.06,33.97,35.01,33.97,35.0,34.06,33.54,33.29,34.21,33.12,32.57,32.7,34.93,33.84,33.62,32.76,33.02,0.1776,1.8699,6.1626
